stage,endocrine_pancreas,epidermis,eye,glial,ionocyte,lateral_line,mesenchyme,muscle,neural,olfactory,periderm,slow_muscle,spinal_cord
 14-21,0,12.52,0,0,0,0,0,0,5.94,0,0,0,0
 24-34,0,43.42,0.73,0,14.02,0.75,0,0,24.49,15.18,0,0,0.85
 36-46,0,3.72,0.78,0,0,0,13.74,0,34.15,10.27,0,0,0
 48-58,0,2,2.65,0,0,0,0.43,0,32.9,24.38,0,0,4.96
 60-70,0,0,0.63,0,0,0,0,0,5.33,0,0,0,2.73
 72-82,0,0,0.83,0,0,0,0,0,48.21,5.15,1.16,0,0
 84-94,0,5.59,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,10.05,1.62,0,0,0,0,0,5.51,0,0,0.81,0
108-118,0.64,0.7,2.84,0,0.46,0,4.31,0.49,0,18.5,0.47,0,0
120,0,91.08,2.33,16.23,0,0,0,0,0,0,0,0,0
