stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,10.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,2.08,1.52,0.93,0,0,0,0,0,0,0
 24-34,0,0,13.21,0,1.24,0,0.71,0,0,0,1.37,0,0,0,7.02,0,2.96,1.36,1.52,0,2.21,0,0.67,0.71,0,0,0,0
 36-46,0,0,0.91,0,0,0,5.69,0,0,0.59,4.86,0,0,0,20.06,0,9.45,2.48,1.77,0,4.4,2.13,0,1.07,0,0,0,0
 48-58,0,0,9.39,0,0.43,0,2.25,5.16,0,0,1.78,0,0,0,16.61,0,5.23,10.47,0,0,3,0,0,3.05,0,0,0.41,0
 60-70,0,0,3.15,0,0.95,0,8.5,7.87,0,0,0,0,0,0,23.29,0,4.1,9.86,1.35,0,6.74,0,0,1.1,0,2.19,1.89,0
 72-82,0,0,5.15,0,8.44,0,0.99,7.48,1.16,0.63,0.74,0,0,0,61.86,3.21,6.74,9.83,0.56,0,14.13,0,0,2.75,0.97,0,0,10.01
 84-94,0,0,4.8,0,5.42,0,7.54,5.67,0,0.56,0,0,1.52,0,51.93,2.85,6.08,4.34,0,0,12.8,0,0,0,4.42,2.89,0.72,2.46
 96-106,0,1.78,15.22,0,6.37,0,4.16,13.37,0.72,0.59,1.61,0.8,0,2.46,80.7,7.06,2.24,12.51,0,0,19.55,0,0,0,1.89,0,1.27,0.65
108-118,0,1.57,20.21,1.18,7.3,1.47,5.46,3.88,7.58,3.96,3.75,0,0,2.21,108.55,0.52,0,15.12,0,0,15.78,0,0,1.9,0,0,9.17,0.49
120,0,0,25.54,0,2.43,0,4.17,6.83,0,0,4.26,10.16,0,0,81.72,8.3,3.51,22.43,0,0,11.66,0,0,0,0,0,5.29,3.15
