stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,61.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.63,22.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41,0,0,0,8.2,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.66,0,0,0,0,0,13.62,0,0,0,0,0
 14-21,0,0,0.85,0,0,0,0,0.87,0,0,0,0,0,0,1.18,0,0,0,0,0,0,19.06,5.89,0,0,0,1.28,0,0,11.42,0,573.14,438.16,4.18,0,0,0,0
 24-34,0,0,2.59,0,0,7.74,52.93,0.71,0,0.62,0,0.74,0.95,0,3,0.83,0,0,8.6,0,0,80.43,67.59,0,1.33,0,0,0,2.67,0,0,261.23,217.46,12.62,0,3.42,0,0
 36-46,0,0,1.94,0,0,40.94,133.74,0,1.79,3.7,0,0,0,0,2.64,0,0,2.63,11.71,0,0,47.93,65.28,0,0.73,0,0,0,6.19,1.78,0,161.13,16.98,9.73,0,6.43,0,6.35
 48-58,0,0,10.47,0,0,32.89,89.65,3.2,1.46,3.2,0,0,0,0.47,0.81,0.4,0,5.11,15.98,0,0,109.91,108.79,0.41,0.78,0,0,0,4.26,0,0,123.94,1.38,9.25,0,0,0,1.5
 60-70,0,0,0,0,0,23.89,98.34,0,0,0.87,0,0,0,0,0.67,0,0,0,12.12,0,0,76.2,53.94,0.66,0,0,1.62,0,2.12,0,0.63,98.34,0,4.02,0,0,0,8.22
 72-82,0,0,1.68,1.63,0,25.32,75.56,0,1,6.99,0,0,0,1.65,0,0,0,0,12.32,0,0,83.72,41.47,0,0,0,3.38,0,0,0,0,48.92,0,4.15,0.87,2.05,0.93,0
 84-94,0,0,1.5,3.46,0,40.83,94.85,1.52,0,8.98,0,0,0,1.79,0,1.71,0,0,13.64,0,0,79.05,34.62,5.65,2.26,0,0,0,1.8,0,0.73,48.51,0,18.07,0,0,2.46,0
 96-106,0,0,0,11.07,2.92,52.51,132.98,0,0,2.75,1.86,0,0.95,3.95,1.73,0,1.02,4.02,16.07,3.47,1.61,48.2,61.05,1.88,0.6,2.01,1.2,0.83,5.49,0,0,65.26,0,0,0,7.7,0,1.24
108-118,0,0,1.09,2.21,8.8,18.55,145.73,0,0,1.42,0,0,0,0.8,0,1.02,0.45,0.7,20.29,0,0,87.57,59.58,0,0,2.29,0,0,2.2,0,0,42.09,0,1.9,1.01,1.71,0,0
120,0,0,0,2.63,0,61.98,111.68,0,0,2.88,2.8,0,0,7.76,0,0,0,2.58,5.35,0,0,101.72,43.26,0,0,0,0,0,6.65,0,0,22.79,0,0,0,0,0,0
