stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,gut,heart,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.51,354.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.83,662.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.56,0,0,0,0,7.58,0,0,0,0,0,0,0,0,0
  7-9,22.9,27.97,18.21,0,43.25,0,0,0,0,0,0,0,0,0,0,0,286.82,17.32,0,0,104.2,3.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,11.27,0,12.19,0,0,0,0,0,0,0,0,0,0,0,127.63,0,0,0,20.99,0,4.76,18.17,0,0,0,0,0,0,0
 14-21,0,0,0,10.35,1.85,0,0,0,0,0,0,0,0,9.37,0,2.33,77.84,3.29,0,0,1.79,0,9.28,1.05,8.83,20.2,0,0,0,0,0
 24-34,0,0,0.6,0.95,9.06,0,6.12,0,0,0,0,0,0,6.81,0,10.78,122.93,0,0,0,0,2.13,0,0,0,23.41,0,0,0,0,0
 36-46,0,0,0,0.77,18.21,0,5.66,0,0,0,0,0,0,6.15,0,0,86.69,0.73,1.21,0,0,0.98,0,0,0,15.57,0,0,0,0,0
 48-58,0,0,0,0,10.31,0,0,0,0.4,0,0.43,0,0,4.86,6.25,0.78,80.87,0,0,0.39,0,4.08,0,0,0,13.54,0,0,0,0,0
 60-70,0,0,0,5.67,28.03,0,16.9,0,0,0,0,0,0,7.69,1.52,2.14,55.11,0,0,0.65,0,1.1,0,0,0,10.37,0,0,1.17,0,0
 72-82,0,0,0,0,33.3,0,9.04,0.53,0,0,0.81,0,0,20.22,1.36,1.91,58.21,0,0,0.51,0,0,0,0,0,13.78,0,0,0,0.57,0
 84-94,0,0,0,2.55,7.8,0.67,1.77,1.94,0,0,0,0,2.48,14.97,1.14,1.44,28.6,0,0,3.65,0,2.82,0,0,0,7.14,0,0,2.27,0.57,0
 96-106,0,0,0,2.42,3.49,0,5.27,0,0,0,0,11.09,0,2.98,0,1.94,20.9,0.81,0,1.18,0,0,0,0,0,0,1.59,1.2,1.23,0,0
108-118,0,0,0,0.92,18.18,0,0,0,0,0.93,0,0,0,6.61,0,1.07,38.37,0,0,1.23,0,3.86,0,0,0,1.17,0,0,0,0,1.44
120,0,0,0,0,0,0,21.9,0,0,0,0,0,0,8.53,0,1.94,27.43,0,0,0,0,2.87,0,0,0,5.09,0,0,5.07,0,0
