stage,blastomeres,epidermis,eye,fast.muscle,glial,gut,lateral.line,mesenchyme,mural.cell,neural,notochord,olfactory,paraxial.mesoderm,periderm,slow.muscle,taste,vascular.smooth.muscle,xanthophores
  3-4,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,10.72,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0
 36-46,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,1.93,0,0.88,0,0,0,0,2.75,0,0,0,0,0,0,0,0
 60-70,0,0,4.3,0,0,0,0,0,0,3.14,0,0,0,0,0,0,0,0
 72-82,0,0,39.77,0,0.55,0,0,1.68,0,4.38,0.51,0,0,2.85,1.07,18.16,0,3.58
 84-94,0,1.48,24.31,0,0,0,0,0,0,4.51,0,0,0,0,0,57.15,0,0
 96-106,0,2.41,43.28,1.42,0.61,1.13,0.63,0,0.69,7.7,0,0,0,0,0,168.74,0,0
108-118,0,0.47,36.13,0,0,0,0,1.04,0,2.17,0,0,0,0,0,181.45,0,0
120,0,0,38.1,0,0,1.21,0,1.37,0,0,0,1.15,0,0,0,59.62,1.52,0
