stage,axial,blastomeres,endoderm,eye,glial,mesenchyme,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature
  3-4,33.59,424.26,0,0,0,0,0,0,0,0,0,0,75.51,0,0,0,0,0
  5-6,0,91.52,0,0,0,0,0,8.55,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0
 10-12,0,0,7.4,0,0,0,0,26.65,3.96,0,0,0,0,0,8.16,0,0,0
 14-21,0,0,0,0,1.3,1.66,0,4.74,0,0,0,0,0,0.9,0,5,0,0
 24-34,0,0,0,0.8,1.62,0,0,4.78,0,1.96,0.64,0,1.48,0,0,7.79,0,0.77
 36-46,0,0,0,6.19,0,0,0,3.3,0,0.61,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.67,3.05,1.29,0,0.9,0,5.71,0,0,0,0,0,4.18,0,0
 60-70,0,0,0,0,2.06,6.71,0,1.51,0,0.84,0,0,0,0,0,2.68,0,0
 72-82,0,0,0,0,1.61,0,0,1.03,0,1.28,0,0,0,0,0,2.49,0,0
 84-94,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,4.78,4.54,0,0
 96-106,0,0,0,0,3.75,0,0,0,0,1.89,0,0,0,0,0,3.24,0.56,0
108-118,0,0,0,0,3.87,0,0.98,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,1.34,0,0
