stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,9.67,205.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.88,0,0,0,0,0
  5-6,7.66,107.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.02,6.35,0,0,14.72,0,0,3.69,0,0,0,0,0,0,94.63,4.17,0,0,59.45,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.69,0,0,0,0,0,0,0,0,0,89.79,0,0,0,32.84,0,0,7.02,0,0,0
 14-21,0,0,2.25,3.09,0,1.69,0,0.89,0,0,0,0,0,1.13,2.94,13.18,0,0,0,0,0,3.04,0,1.83,7.06,0
 24-34,0,0,0,4.93,1.61,7.44,0.72,0,0,0,0.6,0,0,1.72,0.66,113.88,0,0,0,0,2.19,0,0,0,13.59,11.19
 36-46,0,0,0,0,0,32.39,0,0.85,0,0,0,0.56,0.61,2.9,0.6,60.22,1.09,0,0,0,1.79,0,0,0,21.37,0
 48-58,0,0,0,2.2,0,64.05,0,6.76,0,0,0,0,0,8.21,1.44,62.11,0,0,3.04,0,0.68,0,0,0,10.45,1.25
 60-70,0,0,0,3.9,0,53.14,0,1.66,0,0,0,0,0,6.04,0.88,72.72,0,0,1.12,0,0,0,0,0,1.55,0
 72-82,0,0,0,0.5,0,9.87,0,0.56,0,0,0.93,0,0,2.73,0.73,14.05,0,0.79,0,0,0.7,0,0,0,2.48,0
 84-94,0,0,0,0.71,0,25.65,0,7.71,0,0,0,0,0,4.05,1.12,8.09,0,0,0,0,0,0,0,0,0,1.63
 96-106,0,0,0,0,0,3.18,0,1,0,0.95,0,0,0,6.24,0,1.43,0,0,0,0,0,0,0,0,0,0.67
108-118,0,0,0,0,5.92,17.17,0,0,0,0,0,0,0,3.48,3.08,14.29,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,14.33,0,0,0,0,0,0,0,1.34,2.33,51.04,0,0,0,0,0,0,0,0,0,1.46
