stage,blastomeres,epidermis,eye,fin.epithelia,ionocyte,mesenchyme,muscle,neural,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,12.51,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.56,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.34,0,0,0,0,5.55,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,9.64,0.98,0,0
 24-34,0,0.6,0,0.7,0,0,0,2.46,26.02,0,0,0
 36-46,0,2.9,0,0,0.83,0.59,0,1.68,9.25,2.12,0,0
 48-58,0,0.56,0,0,0,0.79,0.94,2.01,8.54,0,0,2.05
 60-70,0,1.44,0,0,0,0.88,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.36,2.48,0,0,0.52,0
 84-94,0,0,0.63,0,0,0.77,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,2.76,0,0,0,0
108-118,0,0.48,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,3.79,0,0,0,0
