stage,axial,blastomeres,endoderm,neural,paraxial.mesoderm,periderm
  3-4,19.82,103.97,0,0,0,0
  5-6,0,102.75,0,7.06,0,8.88
  7-9,0,5.63,6.26,9.26,5.02,3.29
 10-12,0,0,0,4.01,6.2,0
