stage,endocrine.pancreas,eye,glial,liver,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pronephros,spinal.cord,taste
  7-9,0,10.74,0,0,0,0,7.92,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,15.57,0,0,11.86,0,0,0
 14-21,0,2.53,3.06,0,0,0,5.74,0,0,0,0.9,2.9,0
 24-34,1.26,6.91,0.87,0,0,3.56,6.53,0,0,0,0,3.27,0
 36-46,0,11.48,0,1.07,0,0,9.89,0,0,0,0,0,0
 48-58,0,6.96,0.59,0,0,0,0.57,1.3,0,0,0,0.67,0
 60-70,0,7.55,0.9,0,0,0,0,0,0,0,0,6.35,0
 72-82,0,1.9,3.92,0,0,0,0.64,0,0,0,0,1.65,0
 84-94,0,0.68,2.69,0,0,0,0,0,0,0,0,0,0
 96-106,0,2.03,0,0,0,0,0,0,0.6,0,0,0,0.62
108-118,0,7.05,1.05,0,0,0,0,0,1.15,0,0,2.03,0
120,0,0,0,0,10.83,0,4.16,0,0,0,0,0,0
