stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,1305.83,1544.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89,0,0,0,0,0,0,0,0,0
  5-6,3590.87,2703.13,0,62.64,0,0,0,0,0,0,0,380.42,0,0,0,0,0,0,1076.29,173.64,0,0,88.9,24.06,0,0,0,0,0,0,0,0,0
  7-9,10468.85,98.81,0,1692.59,0,0,32.9,0,0,0,0,3511.62,0,0,0,0,0,0,1475,6143.6,0,0,3575.98,0,14.24,0,0,0,0,0,0,0,0
 10-12,306.53,34.61,0,422.06,0,24.43,70.04,0,0,0,0,617.7,0,0,0,0,0,0,598.04,5382.14,0,0,1944.59,6.67,5.85,3.57,74.25,0,35.3,0,0,0,0
 14-21,0,0,0.8,27.92,67.58,166.41,2.67,0,0,1.03,14.11,73.54,0,0.95,30.02,254.4,0,361.65,107.8,2926.82,0.87,0,11.49,1.15,0,38.55,4.46,356.33,249.25,151.89,0,14.75,0
 24-34,0,0,0,0.59,7.69,2.68,2.94,0,0,0,0.89,4.98,2.96,23.71,5.85,41.64,0.69,6.27,60.6,185.02,0,0,0,0,0,0,0,14.98,0,10.4,0,11.45,0
 36-46,0,0,0,0,0.77,0,0,3.05,0,0,0,0,0,25.09,1.56,11.87,1.35,0,17.65,80.27,0,0,0,0,0,0,0,0.59,0,1.52,0,1.4,0
 48-58,0,0,0,0,0.72,0,11.76,0,0,0,0,0,0,12.45,0,5.43,0,0,42.51,20.55,1.37,0,0,0,0,0,0,6.52,0,2.74,0,0,0
 60-70,0,0,0,0,0,0,8.86,0,0,0,0,0,0,3.07,9.86,3.65,0,0,14.35,0.96,0,0.65,0,0,0,0,0,0.71,0,0.87,0,0,5.36
 72-82,0,0,0,0,0,0,0,0,0,1.59,0,0,0,2.08,1.79,8.02,0,0,16.86,0,0,0,0,0,0,0,0,0,0,2.31,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41,0,3.19,0,0,7.46,0.57,0,0.59,0,6.29,0,0,0,0,0,11.69,0,1.25,0
 96-106,0,0,1.19,0,0.57,0,9.54,0,0.62,0,0,0,0,6.34,0,13.74,0,0,7.68,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0
108-118,0,0,0,0.74,0,0,19.33,0,0.45,0.59,0,0,0,5.57,0,3.76,0,0,1.04,0,0,0.72,0,0,0.48,0,0,0.51,0,1.31,1.11,0,0
120,0,0,0,0,0,7.49,0,0,0,11.38,0,0,0,4.48,0,15.62,0,3.18,8.06,0,0,4.51,0,0,0,0,0,0,0,1.75,0,0,0
