stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,47.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,14.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,4.35,0,3.43,3.47,0,0,6.46,0,0,0,0,0,3.7,0,0,0,4.58
 24-34,0,0,0.95,2.19,0,0,0.76,6.8,0.8,23.71,5.44,0,1.87,15.61,0,0,0,0,1.73,2.13,0,0.73,0,8.48
 36-46,0,0,0.76,5.39,1.18,0,0,20.12,0,21.43,15.51,0,0.69,2.68,0,0,0,0,0,9.53,0,0,0,16.04
 48-58,0,0,0,6.07,2.95,0,0,21.76,0,41.22,7.58,0,0,10.77,0.47,0,0,0,0.46,3.02,0,0,0,18.9
 60-70,0,0,0,8.43,7.88,0,0.9,19.3,0,24.24,7.42,0,1.22,18.79,0,0,0,0.63,0,5.55,0,0.73,0,44.4
 72-82,0,0.87,0,2.53,30.01,0,1.6,30.57,0,13.07,12.07,0,2.1,12.82,0,0,0,0,0,7.15,2.78,5.05,0,21.86
 84-94,0,0,0,0.76,23.81,0,0,42.51,0.86,3.8,18.05,0,2.52,3.62,0,0,0,1.04,0,4.39,1.7,0.97,0,1.05
 96-106,0,0,0,4.8,4.1,0,0,50.53,3.77,1.3,20.13,5.65,0.59,13.77,1.94,0,0,0,0,0,2.43,4.54,0,13.53
108-118,0,0,0,0,26.24,1.03,0,43.72,1.44,10.03,20.6,3.11,0,16.08,0,0.76,0.65,0.59,0,0,1.78,0.52,0.56,33.73
120,0,0,0,2.28,33.53,0,0,54.26,0,4.4,3.7,0,0,12.7,0,0,3.12,0,0,0,3.84,0,0,0
