stage,axial,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,neural,notochord,paraxial_mesoderm,somites,spinal_cord,vasculature
  3-4,0,43.88,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.49,27.42,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.01,0,0,0,0,28.4,5.22,5,0,0,0
 10-12,0,0,7.11,0,6.94,0,0,46.25,0,26.65,0,0,0
 14-21,0,0,0,1.21,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,3.02,0,0,1,0,0.67
 36-46,0,0,0,0,1.39,0,0,5.11,0,0,0,0,0
 48-58,0,0,0,0.53,2.25,0,0,7.89,0,0,0,1.54,0
 60-70,0,0,0,0,0,0.89,0,2.99,0,0,0,4.32,0
 72-82,0,0,0,0,4.58,0,0,9.74,0,0,0,0,0
 84-94,0,0,0,0,0.85,1.06,0,0.85,0,0,0,1.38,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0.89
108-118,0,0,0,0.76,0,0,1.58,3.01,0,0,0,0,0
