stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,8.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.32,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.72,0,0,0,14.81,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.83,0,0,0,39.46,0,0,0,5.26,0,4.75,0,0,0,0,0,0
 14-21,0,8.66,32.7,1,0,0,0,0,0,0,0,1.88,0,0,1.79,0,0,0,0,6.99,0.82,0,0.86,4.68,1.14,0,0,0,0,0,2.94,0,1.12,8.49,1.86,0,0,0,0,0
 24-34,0,0,11.04,8.58,0,0,8.09,0,0,0.74,1.02,0.75,0,0,4.85,0,0,0,0,8.3,2.85,0,3.97,51.98,0,1.5,0,0,0,8.93,0,0,2.53,3.04,3.84,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.81,0,0,1.47,0,0,0,0,0,0,0,0,0,2.1,0,0,1.2,17.7,0,0,0,0,0,0,0,1.56,0,0,0.68,0,0,0.72,0,0
 48-58,0,0,0,0,0,0,1.62,0,0,0,0.87,0,0,0,0,0,0,0,0,4.03,0,0,0,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,32.59,1.18,0,0,1.4,2.61,3.12,1.91,0,0,0,0,0,0,4.83,0,0,0,9.67,0,0,0,0,0,2.1,0,0,0,0,2.31,0,0,0,0,0
 72-82,0,0.91,0,2.03,0,268.78,8.4,0,1.55,1.2,2.76,0.63,0,0,0,0,2.09,2.95,0,10.66,0,0,0.59,37.53,0,0,0,0,0,3.37,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,5.05,0,407.84,17.27,0,0,0,2.74,5.5,0,0,0,0,0,1.41,0,9.33,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,3.33,0.88,0,0,0
 96-106,0,6.21,0,14.48,30.77,4140.17,178.5,4.31,3.79,13.59,28.2,18.07,0,7.07,2.45,5.52,3.37,35.92,0,105.49,3.56,3.3,5.99,426.21,0.68,6.3,4.79,0,2.14,30.06,0,0,0,0,15.51,0,3.87,32.19,2.9,14.84
108-118,0,2.44,0,25.95,32.52,11692.32,312.36,4.79,8.07,3,70.24,30.41,2.29,12,1.47,7.23,2.54,76.16,8.34,135.63,4.6,6.05,10.84,883.74,1.37,7.06,5.28,0,5.63,82.3,0,1.36,0,0,3.25,3.93,0,11.44,9.76,40.93
120,0,5.69,0,42.08,8.7,4508.02,257.54,0,19.07,1.29,71.26,85.08,5.1,7.42,5.04,11.74,1.74,30.09,0,129.88,3.43,0,38.03,625.76,4.94,2.22,0,0,12.66,40.89,0,19.1,1.22,0,3.71,0,0,17.38,0,41.48
