stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,5.47,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.97,0,1.77,0,0,0,0,0,0,0,3.48,0,0.82,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.22,9.42,0.67,0,0,0,0,0,0.71,2.57,0,0,0,0
 36-46,0,0,0,2.31,0,0,0.67,2.68,0,3.83,0.82,18.28,1.12,0,0,0,0,0,0,14.25,0,0,0,0
 48-58,0,3.91,0,3.63,0,0,0,0.65,0,1.3,0.7,26.64,0,0,0,0,0,5.17,0,9.06,0,0,0,0
 60-70,0,0,0,18.27,0,0.91,0,1.81,0,1.54,0,23.34,0,0,0,0,0,0,0,9.35,0,0,0,0
 72-82,0,0,0,22.51,0,0,0.94,4.39,0,5.76,0.5,33.11,0,0.77,0,0,0,0,0,16.26,0,0,0,0
 84-94,0,0,5.64,10.28,9.11,0,0,0,0,2.29,0,39.36,0,0,0,0,0,0,0,3.75,0,0,0,0.55
 96-106,0,2.75,1.05,36.18,0,0,0,10.89,0,4.44,0,17.42,0,0,0,0,0,0.72,0,9.67,1.08,0,3.66,0
108-118,0,2.21,0,6.75,0.58,0,0,3.51,0.42,1.64,1.08,12.54,0,0,0,0,0.49,0,0,0.89,0,0,0.42,0
120,0,0,0,5.89,5.69,1.58,0,0,0,0,3.76,56.65,0,0,3.99,0,0,0,0,0,0,0,0,0
