stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,43.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,58.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,8.04,0,0,0,0,0,0,0,0,21.27,0,0,24.91,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.39,0,0,0,0,0,0,0,0,28.12,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,5.65,4.91,0.82,0,0,1.47,0,0.86,3.62,0,0.84,25.84,0,0,0,0,0,1.89,4.47,5.03,0,0
 24-34,0,1.44,0,0,1.3,0,0,0,0,0,3.09,0,1.52,24.83,0,0,0,0,0.71,0,0.85,3.1,0,0
 36-46,0,0,0,0,0.64,0,0,1.63,0,0,0,0,0,16.17,0,0.76,0,0,0,0,0,6.93,0,0.85
 48-58,0,0,0,0,3.55,1.49,0.45,4.87,0,0.39,2.98,0,0,56.05,0,0,0,0,0,0,0,7.76,0,1.34
 60-70,0,0,0,0,7.44,0,0,2.39,0,0,1.37,0,0,56.72,0,0,0,0,0,0,0,5.24,1.81,0
 72-82,0,0,0,0,11,0,0,0,0.63,0,1.49,6.32,0,27.77,0,0,0,0,0,0,0,2.71,0,5.35
 84-94,0,0,2.14,0,17.13,0,1.6,1.87,0,0,4.97,0.93,0.77,57.54,0,0,0,0.77,0,0,0,0,0,0
 96-106,0,0,0,0,4.92,0,1.06,3.05,0,0,8.65,0,3.41,3.39,0,0,0,0,0,0,0,0,1.72,0
108-118,0,0,0,0,4.2,0,0.66,3.6,0,0,3.94,0,0,24.14,0.6,0,0,0,0,0,0,1.66,0,0.94
120,0,0,2.57,0,5.95,0,0,0,0,0,1.56,0,0,16.71,0,0,0,0,0,0,0,0,0,0
