stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,35.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0
  7-9,5.87,0,0,0,0,0,0,0,0,13.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,8.02,0,0,0,0,0,0,0,0,0,1.98,0,0,2.03,2.86,0,0,0,5.81,1.46,5.93,0,0,0,0,6.64
 24-34,0,0,0,0,0,8.75,0,0,0,4.01,0,0,0,0,0,16.82,0,0,6.68,0.76,0,0,0,0,0,0.96,3.04,0,0,0,40.05
 36-46,0,0,0,0,0,18.13,0,0,0,0,0,4.82,0,1.57,0,16.85,1.34,0,4.41,1.32,0,0,0,0,0,0,1.33,0,2.4,0,86.96
 48-58,0,0,0,0,0,15.62,0,0,0,0,0,0,0,32.23,0,21.05,0.53,0,11.49,0,0,0,0,0,0,0,2.67,0,0.77,0,156.69
 60-70,0,0,0,0,0,24.49,0,0,0,0,0,9.55,0,95.14,0,19.47,5.03,0,12.83,0,0,0,1.41,0,0,0,9.08,0,0,0,96.6
 72-82,0,0,0.87,0,0,29.54,0,0,0,0,0.75,3.81,0,180.95,3.3,3.06,7.57,0.62,26.79,0,1.03,2.55,5.18,0,0,0,6.93,0,0.6,1.28,118.7
 84-94,0,0,0,0.91,8.18,39.04,0.61,0,0,0,0,0.67,0,129.74,0,24.45,6.59,0,7.61,0,0,6.05,8.97,0,0,0,3.73,0,0,1.36,38.03
 96-106,0,0,0,6.23,0,33.97,0,2.28,3.91,0,0,1.03,0.78,101.47,1.4,15.09,2.7,0,5.28,0.85,0.56,0,18.02,0,0,0,0.95,1.68,3.15,2.33,43.66
108-118,0,0,0,2.52,0,21.65,0,0,5.76,0,0,1.99,1.92,210.93,0,10.61,7.69,1.89,4.37,0,0,0.43,7.28,0,0,0,2.55,0,0.74,0,22.61
120,0,0,0,1.57,11.92,17.33,0,0,10.66,0,0,4.45,3.42,100.77,0,5.34,9.35,0,0,0,0,0,5.16,0,0,0,0,0,0,0,11.55
