stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,41.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,69.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,7.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,0,0,0,6.53,0,15.41,0,0,0,0,0,0
 10-12,0,0,17.01,0,0,10.66,0,0,0,0,9.62,0,0,0,0,0,0,0,0,0,0,0,15.09,0,0,0,3.84,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.18,0,0,0,0,0,0,0,2.7,0,0,0,0
 24-34,0,0,0,0.64,0,0.98,0,0,0.62,0,0,0,0,0,0,0,0,0,2.81,0,0,0.85,222.71,0,2.23,0,0,0,0,0,53.72,0,0,1.33,0
 36-46,0,0,0,0,0,9.71,2.26,0,0.62,0,0,0,0,0,0,0,0,13.11,1.41,0,0,0,684.84,0,11.08,0,0,2.79,0,0,148.82,0,0,0,0
 48-58,0,0,0,6.49,0.37,50.74,0,3.06,7.3,0,0,0.51,0,0,0,0,0,2.2,2.75,0,4.59,1.38,1249.24,0,3.22,0.76,0,3.93,0,0,231.43,0,0,0,10.45
 60-70,0,0,0,2.37,0,250,0,0,17.12,0,0,0,0,0,0,0,0,0,22.91,2.49,1.11,6.53,2319.94,0,3.73,0,0,6.13,0,0,281.91,0,0.99,0,0
 72-82,0,0,0,7.46,4.31,199.3,0,3.21,27.15,0.85,0,0,0.72,0,0,1.67,2.04,0,21.29,0,0,1.6,1663.73,0,0,0.9,0,1.54,0,0,241.64,1.21,0,0,11.26
 84-94,0,0,0,20.64,0,146.5,0,0,7.46,0,0,0,2.53,0.75,0,0,3.49,0,17.18,0,0.6,0.74,1352.19,0,3.11,1.22,0,0.59,0,0,137.95,0,0,0.93,0
 96-106,0,0,0,4.34,8.88,132.04,1,1.66,23.52,0.58,0,0,0.87,0,0.75,0,0,0,19.34,0,0,2.41,966.88,0,0,0,0,2.31,0,0,75.52,0,0,2.1,0
108-118,0,1.15,0,7.66,1.38,110.87,0,0,5.07,1.21,0,0,0.5,0,1.6,0,2.16,0,6.24,0,0,4.99,1009.68,0.43,2.52,0,0,0,0,0.54,75.31,0,0,0,0
120,0,0,0,14.38,0,148.51,0,0,30.05,2.96,0,4.47,0,0,0,0,0,0,47.97,0,0,0,1762.21,0,0,13.55,0,0,0,0,75.5,0,0,0,0
