stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.76,97.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.7,61.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.02,0,0,0,0,8.78,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.04,0,0,0,11.27,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,0,0,50.82,0,0,0,3.64,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.93,0,0,0,12.61,0,0,9.11,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0,0,0.84,12.71,0,0,0,0,0,0.92,0,0,0.94,1.34,0,0,0,0
 24-34,0,0,0,1.38,0,0,5.13,0,0,0.83,0,0,0,0,0,0,0,0,0.9,5.59,0,0,0,72.68,0,1.03,0,0,0.84,0,0,0,1.2,10.69,0,2.84,0,0
 36-46,0,0,0,0,1.93,0,14.32,0,0,0,0.8,0,0,0,0,0,0,0,0,6.73,0,0,0,47.73,0,0,2.7,0,2.24,0,0,1.12,0,13.78,0,1.78,0,0
 48-58,0,0,0,3.53,0,0,24.41,0.81,4.85,0,7.03,3.41,0,0,0,0,0,0,0,4.16,0,0,0.51,79.33,0,0,1.77,0,0,0,0.4,0,0,11.13,0,2.7,0,0
 60-70,0,0,0,0,0,0,49.7,0,0,0,23.92,0,0,0,0,0.6,0,0,0,20.29,0,0,2.07,74.43,0,0.7,0,0,4.29,0,0,0,0,29.44,0,0,0,0
 72-82,0,0,0,3.16,0,0,32.82,0,0,0.87,4.21,0,0,0,0.49,0,0,1.06,0,6.21,0,0,0,46.95,0,0,0,0,2.97,0,0,0,0,6.23,0.75,0,0.68,0
 84-94,0,0,0,2.97,0,0,28.06,0,0,0,4.72,0.66,0,0,0.73,0,0,0,0,21.63,1.53,0.86,0,38.88,0.58,0,0,0,1.71,0,0.76,0,0,17.24,0,0,0,0.86
 96-106,0,0,0,2.7,0,0,9,0,0,0,2.88,0,0,0,0,0,0.57,0,0,19.91,0,0,0.62,30.82,0,0,0,0,1.95,0,0,0,0,6.68,3.23,1.97,0,0.63
108-118,0,0,0,4.32,2.14,2.73,21.5,0,0,0,2.76,0,0,0.8,0,0,0,0,0.43,15.09,0,0,0.72,37.97,0,0.57,0.51,0,5.98,0,0,0,0,2.41,0,1.17,0,0
120,0,0,0,1.01,0,0,18.54,1.26,0,3.49,33.76,0,0,0,0,0,0,0,0,38.69,0,0,2.23,133.95,0,0,0,0,1.59,0,0,0,0,0,0,0,0,0
