stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.93,0,0,0,0,0
  5-6,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,8.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.82,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.17,0,0,18.25,0,0,1.02,0,0,0,1.17,0,1.26,0.94,0,2.55,0,0,0,5.93,1.05,13.13,0,0
 24-34,0,0,0.74,0,1.4,0,0,6.36,0,3.45,0,0,0,0,0.69,0,0,30.95,0,10.61,4.74,0,0.87,5.94,0,27.12,0,0
 36-46,0,0,0,0,7.53,0,0,5.86,0,0.6,0,0,0,0,0.77,0,0,27.71,0,21.12,1.46,0,0,1.31,0,26.76,0,0
 48-58,0,0,0,0,12.12,0,0,16.34,0,0,0.48,8.2,0.79,11,1.26,0.6,0,42.25,0.48,23.65,3.1,0,0,0,0,18.98,0.93,0.47
 60-70,0,0,0,0,8.05,0,0,12.88,0,0,0,0.58,0,0,4.62,0.7,5.26,28.41,1.76,8.28,1.94,0.97,0,0,0,8.84,0,0
 72-82,0,0,0,0,6.49,0,0,14.42,0,0,0.69,0,2.66,0,5.36,0,0,37.37,3.43,17.55,4.68,0,0,0,0,8.65,0,0
 84-94,0,0.56,0,0,0.87,0,0.61,14.73,0.75,0,0.7,0.55,3.37,0,0.59,0,0.63,33.43,4.23,11.13,11.2,0,1.66,1.33,0,2.74,0,0
 96-106,0,2.46,0,1.43,14.32,0.57,0,10.28,0,0,5.67,0.65,5.4,0,0,0,0,30.5,0.79,26.26,8.83,0,1.28,1.51,0,10.06,0,0
108-118,0,0.76,1.06,2.73,10.21,0,0,12.41,0,0,5.58,0.8,6.97,0,1.95,0,0,24.61,0,32.68,26.78,0,1.76,1.01,0,9.44,0.57,0
120,0,0,0,0,12.25,0,0,0,0,0,1.01,1.63,9.32,0,11.72,0,0,16.37,10.25,17.28,19.57,0,0,0,0,7.29,7.32,0
