stage,gut,lateral_line,liver,mesenchyme,neural,periderm
 36-46,0,0,0,0,0,0.86
 48-58,0,0,0,0,1.59,0
 84-94,0,1.2,0,0.83,0,0
 96-106,0.62,0,0.64,0,0,0
120,0,0,1.01,0,0,0
