stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,hatching.gland,ionocyte,mesenchyme,mucous,neural,olfactory,periderm,spinal.cord,taste
  3-4,0,24.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.12,80.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.2,0,0,3.32,0,0,0,0,25.62,0,0,0,3.41,0,0,0,0
 10-12,0,0,0,4.97,0,0,0,0,73.88,0,0,0,25.4,0,0,0,0
 14-21,0,0,0,0.89,0,0,0,0,22.59,0,0,0,4.43,0,0,1.86,0
 24-34,0,0,0,0,0,0,0,0,0.66,0,0,0,8.86,0,0,1.28,0
 36-46,0,0,0,0,1.82,0,1.13,0,0,0,0,0,46.54,0,0,1.94,0
 48-58,0,0,0,0,0,4.95,1.38,0,3.16,0,0,0,53.85,0,0,1.36,0
 60-70,0,0,0,0,0,4.12,3.8,0,0.88,0,0.96,0,65.24,1.55,0,0,0
 72-82,0,0,0,0,0,1.72,1.76,0.61,1.61,0.75,1.91,1.7,113.71,0,0,0,0
 84-94,0,0,0,0,0,5.65,0,0,0,2.82,1.76,0,88.36,3.89,0,2.39,0
 96-106,0,0,0,0,0.56,9.55,3.49,2.08,2.64,0,0,5.21,61.43,0,2.55,0,0
108-118,0,0,0.98,0,0.72,2.95,0.99,0.57,0,2.77,0,0,114.89,0,0.69,0,0.43
120,0,0,0,0,17.95,14.35,26.67,3,0,1.06,0,0,270.89,0,5.41,0,0
