stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,142.86,4437.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13063.38,0,0,0,0,0,0
  5-6,154.36,2370.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.18,7.94,0,15.84,12010.19,0,0,0,0,0,0
  7-9,25.92,48.65,22.08,0,0,0,46.71,0,0,0,22.83,0,0,0,0,0,671.08,10.37,0,130.85,1477.26,0,0,0,0,0,0
 10-12,0,0,19.01,0,5.46,0,11.6,0,0,0,0,0,0,0,0,0,145.12,32.97,0,46.59,244.84,0,3.29,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,1.25,0,0,0.86,0,0.9,0,0,7.3,13.65,0,0,18.9,2.02,0,1.91,0,0,0
 24-34,0,0,0,0,0.64,0,0.6,0.78,1.36,0,0,0,0,0,0,0.92,35.23,0,0,0,0.68,0,0,2.16,0,0,0
 36-46,0,0,0,0,0,0,2.58,0,0,0,0,0,0,3.62,0,0,22.81,0,0,0,0,0,0,7.33,0,0,0
 48-58,0,0,0,1.72,0,0,6.81,0,0.98,0,0,0,1.1,1.93,0,0.42,22.56,0,0.39,0,1.28,0,0,0.71,0,0,0
 60-70,0,0,0,0,0,0,5.53,0,0,0,0,0,0,0,0,0,5.41,0,0.94,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.86,0,12.04,0,0.59,0,0,4.02,0,20.25,0,0,23.26,0,0,0,4.89,0,0,2.2,1.01,0.57,0
 84-94,0,0,0,0,3.17,1.19,1.27,0,0,0.63,0,1.72,0,2.89,0,0,14.17,0,0,0,0,0,0,0,1.14,0,0
 96-106,0,0,0,0,5.76,0.57,4.7,0,0,3.24,0,0,3.16,5.47,0,0.95,7.85,0,0,0,0,0,0,0,0,0,0.69
108-118,0,0,0,0,0.93,0.64,3.21,0,2.81,0,0,0,1.26,8.6,0.49,0,12.94,0,0,0,0,0,1.76,0,0,0,0
120,0,0,0,1.37,1.32,0,2.56,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
