stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,immune,mesenchyme,mucous,mural.cell,neural,olfactory,paraxial.mesoderm,periderm,pgc,spinal.cord,visceral.smooth.muscle
  3-4,13.98,68.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.01,0,0,0,0,0,0,21.01,0,5.33,0,0,0,0
 10-12,0,0,0,6.07,0,0,0,0,0,0,18.79,0,5.34,0,5.47,0,0
 14-21,0,0,0,1.08,0,0,0,0,0,0,2.15,0,0,0,0,0.81,0
 24-34,0,0,0,0,0,0,0,3.09,0,0,8.85,0,0,0,0,0,0
 36-46,0,0,0,1.55,0,0,0,0,0,0,66.66,0,0,0,0,1.46,0
 48-58,0,0,0,24.15,0,0,0,1.07,0,0,173.42,1.14,0,0,0,10.97,0
 60-70,0,0,1.37,51.2,0,7.98,0,8.25,2.41,0.89,437.37,0,0,0,0,2.98,0
 72-82,0,0,5.31,67.2,1.19,5.08,2.57,0,0,0,362.83,0,0,0.59,0,11.22,0
 84-94,0,0,0.62,61.61,0,4.76,0,2.98,0,0,280.29,0,0,0,0,10.32,0
 96-106,0,0,0.86,10.85,0,2.52,0,1.66,0.71,2.34,155.56,2.05,0,0,0,0,0
108-118,0,0,0,28.43,0,2.27,0,1.15,0,0,177.93,0,0,0,0,1.14,0.57
120,0,0,0,22.06,0,14.31,0,0,0,0,256.77,0,0,0,0,8.25,0
