stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.07,259.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,309.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.85,0,0,0,19.54,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,12.71,0,0,0,0,0,0,0,0,0,0,0,34.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.69,0,0,0,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,137.38,0,11.1,1.85,0,0,0,0,1.78,0,0,107.32,0,0,0,0,0
 24-34,0,0,8.73,2.54,0.84,0,24.62,0,0,0,3.56,0.66,0,0,0,0.62,0,0,0,0,3.01,0,0,0.7,1102.86,0.75,38.35,4.31,0,0,0.75,0,0,0,0.82,338.83,0,0,0,0,0
 36-46,0,0,1.77,4.29,2.51,0,160.94,0,0,0,18.52,0,0,1.57,0,0.77,0,0,0,0,5.72,0,0,1.86,2533.99,0,70.83,2.92,0,0,2.04,0,0,0.6,0,692.31,0,0,1.97,0,0
 48-58,0,0,1.07,19.88,2.32,0,634.89,0.85,0,0,99.59,0,0,0.44,0,0,6.72,0,0,0,14.97,0,0,10.2,3646.92,0.88,23.68,13.87,0,0,3.65,0,0,4.97,0.46,658.3,0,0,2.91,0,8.01
 60-70,0,0,11.78,24.21,0,0,1951.86,0,0,1.48,108.84,1.23,0,1.45,1.08,0,0,0.77,0,0,30.98,0,0,0.82,4665.35,0,36.92,33.1,0,0,21,0,0,0,0,601.67,0,0,0.87,0,7.26
 72-82,0,0,13.44,24.02,9.94,0,2770.83,0.59,4.29,0.61,117.55,4.9,0,0,0,0.63,0,1.32,0,6.49,50.66,0,0,3.04,5425.44,0.82,66.02,24.53,0,1.61,0.5,0,0,0,0,352.54,2.27,1.87,3.95,1.78,6.49
 84-94,0,0,8.05,36.44,2.17,0,2310.9,0,0,0.67,92.67,9.58,0,0,1.03,0,12.15,7.12,1.61,0,46.37,1.26,5.76,5.23,3967.66,1.31,61.94,37.43,0,0,5.03,0,0,0,0.69,266.36,1.14,0.63,4.32,3.05,5.36
 96-106,0,0,10.95,27.52,24.34,0,2163.94,0,6.68,5.33,98.4,11.24,0,1.58,0,0,0,19.79,28.35,0,64.57,6.61,1.16,1.32,3673.55,0,81.39,40.69,0,0.97,12.83,2.06,0,0.69,0,138.52,6.33,1.15,0.97,1.28,16.32
108-118,0,0,5.3,37.09,9.89,3.84,1690.57,1.32,0.55,0.48,96.57,4.22,0,0.51,1.4,1.89,0.42,7.06,2.95,0,35.57,0,6.01,7.13,3802.54,0,53.43,41.02,0,2.11,9.09,0,0,1.88,0,149.29,6.15,0,3.18,1.52,2.97
120,0,0,6.97,52.54,3.32,13,1806.75,5.14,0,0,200.44,13.75,0,11,1,2.21,0,5.89,10.52,0,94.42,0,15.95,2.54,6332.59,23.47,57.61,67.88,0,0,34.9,0,0,3.15,0,206.55,5.08,0,29.93,0,0
