stage,axial,blastomeres,endoderm,epidermis,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,pgc,somites
  3-4,94.25,839.04,0,0,0,0,0,0,0,44.58,0,0
  5-6,15.46,385.69,0,0,0,0,23.73,0,0,7.58,0,0
  7-9,3.73,3.7,22.15,0,34.96,27.87,300.46,18.51,75.81,8.28,19.03,0
 10-12,0,8.57,0,0,0,0,68.16,0,10.75,0,5.47,10.49
 14-21,0,0,0,0.97,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.5,0,0,0,0,0
