stage,glial,mesenchyme,neural,otic,pronephros,spinal.cord
 24-34,0,0.78,1.81,0,0,2.56
 36-46,1.83,0,0,0,0,0
 60-70,0,0,6.91,0,0.68,1.13
 72-82,0,0,0,0,0,0.9
 84-94,0,0,0,4.06,0,0
