stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,13.13,0,0,0,0,0,0,0,0,0,0,0,0,0,31.12,14.11,0,17.83,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,45.4,0,0,39.69,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.57,0,0,0,0,0,0,8.69,0,0,0,0,20.56,0,0,0.93,0,0,0,0,0,0,0,0.83,0,0,0,0,0
 24-34,0,1.43,4.55,0,0,0,0,0,0,38.82,0,0,0,0,51.69,2.43,3.88,21.17,1.77,0,0,0,1.01,0,0.93,1.37,0.92,0,0,0,0
 36-46,0,2.38,0,3.83,0,0,0.76,0,0,43.93,0,15.76,0,0,26.34,0.74,0.86,19.06,0.57,0,16.41,6.67,0,0,0.72,0,1.18,0,0,0,0
 48-58,0,0.54,0,6.47,0,0,0.99,0,0,28.37,0,0,0,0,8.83,0,6.28,59.08,5.41,1.42,0,0.61,0,0,0,0,2.23,0,0,0,0
 60-70,0,0,0,12.9,0,0,0,0,0,142.24,1.17,0,0,0,1.8,4.16,1.81,23.39,3.99,1.95,0,0,0,0,8,0,2.82,6.72,0,25.59,0
 72-82,0,4.27,0,20.74,3.2,0,6.42,0,0,17.5,0,0,0,0,17.77,9.19,0,22.29,0,0,0,4.42,0.49,0,4.84,0,0,23.1,0,64.35,0
 84-94,0,0,0,6.18,2.55,0,0,0,0,25.52,0.74,0,1.81,0,12.38,6.45,2.41,9.83,0,0,0,0,0,0,0,0,5.85,17.14,0,74.48,0.86
 96-106,0,4.98,0,14.86,18.11,0,0,2.34,0,130.33,0,0,0,0,9.79,13.33,7.97,21.76,0,0,0,20.55,1.05,0,9.48,0,0,43.44,4.69,110.8,0
108-118,0,3.66,0,7.44,16.76,0.74,1.12,0,0,142.21,0,0,1.39,1.62,7.08,3.39,7,25.62,0,0,0,56.92,0,0,3.83,0,0,44.23,4.2,69.74,0
120,0,23.32,0,0,7.47,0,0,1.22,0,67.17,0,0,0,0,30.51,31.06,0,40.16,0,0,0,0,0,27.46,0,0,0,8.19,0,62.11,0
