stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,44.22,1357.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.1,0,0,0,0,0,0,0,0,0,0
  5-6,70.13,842.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.27,0,0,0,48.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.11,0,12.42,0,0,0,21.75,0,0,0,0,0,4.31,0,0,0,0,0,0,0,0,0,0,157.88,26.53,0,0,127,0,0,21.02,0,0,0,0,0,0,0,0,0
 10-12,0,7.58,0,5.57,0,0,0,17.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.6,16.01,0,0,91.94,0,0,9.77,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,1.85,2.2,11.35,3.87,0,3.87,0,0,0,2.11,3.71,0,1.52,0,0,0,0,0,10.22,0,0,14.49,142.8,0.82,1.55,0.88,7.31,0,0,1.21,20.89,1.08,19.77,72.49,0,0,1.53,0,0
 24-34,0,0,12.64,0,3.54,0,0,6.3,0,0,0.76,7.54,0,0,0,0,0,0,0,0,17.8,0,0,9.59,193.71,0,16.05,1.49,0,0,0,0,0,0.64,2.86,53,0,0,0.76,0,0
 36-46,0,0,1.59,0,0,0,0,14.27,0,0,1.44,13.38,0,0,0,0,0,0,1.36,0,20.47,0,0,9.69,346.16,0,18.92,0,0,0,0,0,0,0,0,81.28,0,0,0,0,0
 48-58,0,0,2.51,0,1.13,0,0,19.89,1.09,0,6.54,37.93,0,0,0,0,0,0,1.26,0,38.77,0.39,0,7.43,362.81,0,15.47,2.55,0,0,0,0,0,0.61,0,77.99,0,0,1.57,0,0
 60-70,0,0,3.61,0,0.9,0,0,105.04,0,0,0,25.01,0.77,0,0,0,1.33,7.43,1.22,0,56.1,4.53,9.02,12.68,533.26,0,17.06,2.12,0,0.96,0,0,0,0,0,64.23,0,0,0.84,0,0
 72-82,0,0,21.41,0,7.78,0,0,171.56,0,5.93,0.51,41.6,4.07,0,0,0,0,0,1.28,0,71.34,0,1.81,8.96,551.5,0,29.07,1.24,0,0,0,0,0,0,0,29.45,0,0.57,1.22,2.21,0
 84-94,0,0,22.35,0,8.45,0,0,206.95,0.75,0,0,20.23,4.91,0,0,0,0.55,0,2.8,0,65.11,0,2.11,1.84,321.56,0.57,11.58,0,0,0,2.05,0,0,0,0,19.44,1.01,0,0,2.16,0
 96-106,0,0,28.56,0,13.11,1.72,0,226.62,0,0,0,23.1,8.53,0,0,1.69,0,0.63,6.43,0,48.23,0,0,2.82,328.8,0,20.72,2.37,0,0,1.7,4.74,0,0,0,16.93,2.95,0,0,4.23,0.58
108-118,0,0,29.93,0,2.15,0,3.75,203.23,0,0.54,0.43,25.87,7.3,0,0,2.04,0.63,0,1.82,0,34.06,0,0,1.22,498.26,0,11.94,0.58,0,0,0.45,0,0,0,0,9.14,3.56,0,3.99,0.57,3.98
120,0,0,25.2,0,0,0,0,128.39,0,0,1.67,22.27,1.71,0,0,5.23,0,0,1.11,3.84,34.71,0,1.38,0,685.06,0,22.98,5.47,0,0,0,0,0,0,0,0,0,8.19,0,0,0
