stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,345.91,8184.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361.35,0,0,0,0,0,0,0,0,0,0,0
  5-6,482.97,14883.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.91,0,0,0,0,0,151.77,0,0,0,0,0,0,0,0,0,0,0
  7-9,124.33,808.1,868.91,0,11.97,3070.11,0,0,0,0,0,41.19,0,0,0,0,0,0,0,0,0,0,0,23035.02,460.71,0,0,2674.35,0,3.63,50.58,0,0,0,0,0,0,0,0,0,0
 10-12,0,704.35,539.69,0,47.43,1039.91,0,0,0,0,0,29.23,0,0,0,0,0,5.32,0,0,0,0,0,21993.93,113.6,0,0,1907.95,0,0,15.47,7.52,159.72,0,33.77,64.61,0,0,0,0,0
 14-21,0.89,0,15.76,211.51,24.14,51.67,0,2.02,0,244.25,0.83,4.28,8.76,0,1.21,0,0,0,2.78,72.3,0,0,127.66,10450.29,24.18,4.17,95.13,27.69,0,2.53,0,61.65,13.15,5.04,145.38,3060.84,0,0,5.47,0,0
 24-34,0.88,0,13.47,115.09,3.3,123.41,0,18.33,1.06,459.26,1.78,4.35,5.24,6.57,1.11,3.07,10.3,12.93,23.07,200.64,0.67,0.82,134.75,15123.76,2.77,18.01,88.36,0,0,30.76,0,4.67,13.63,7.84,29.43,3847.75,0,0,37.13,0,15.1
 36-46,0,0,0,36.75,1.46,504.5,0.68,3.1,7.28,779.35,0,0,7.36,4.3,0,1.91,2.73,0,18.47,157.1,0.65,1.9,46.61,7156.68,0.81,2.73,42.65,0,0,15.89,0,1.82,0.66,0,0.8,2592.07,0,1.37,6.21,0,0
 48-58,0,0,0,23.7,1.35,902.28,1.24,4.19,1.93,1381.62,1.3,0.57,3.3,1.62,0,2.35,4.99,0.46,28.28,154.17,0,6.66,52.35,2530.98,7,0.78,43.32,0,0.45,2.46,0,0,2.01,0,0,1758,0,0.61,11.59,0,9.92
 60-70,0,0,0,19.76,0.76,397.64,1.28,7.98,0,829.25,3.27,0,0.78,0,0,0,2.21,0,5.41,103.03,0,0,28.58,483.5,0,1.81,39.56,0,0,11.79,0,0,0,0,0,225.58,0,2.4,0,0,2.72
 72-82,0,0,0,8.28,0,208.38,0.75,0,0.68,856.57,0.64,0,2.5,2.29,1.73,1.21,6.31,0,15.7,106,0,0,23.68,297.88,0,9.92,44.42,0,1.77,5.64,0,0,0.64,0,0,68.53,2.98,0,0.71,1.45,2.09
 84-94,0,0,0,7.89,0,114.03,0,2.91,2.16,634.81,2.63,0,0,4.55,0,1.25,4.29,0,16.84,88.52,0.76,4.07,18.64,203.63,5.19,7.73,34.21,0,3.46,2.53,0,0,1.69,0,0,55.28,0,19.41,5.3,0.75,0
 96-106,0,0,0,16.1,2.55,180.55,1,0.65,12.2,667.29,0.67,0,4.45,1.9,0,0.74,4.31,1.54,12.44,66.31,0,4.26,26.91,230.85,0,1.52,42.83,0,21.79,8.63,0,0,1.48,0,0,34.99,0,4.74,1.23,0.64,0
108-118,0,0,0,7.96,3.67,125.25,1.38,0,1.6,643.87,0.64,0,0.51,1.93,1.02,2.11,1.62,1.46,18.93,74.84,0,7.85,21.26,338.63,1.94,7.68,54.9,0,16.95,5.19,0,0,0,0,0,11.78,0,2.13,8.43,0,0
120,2.39,0,0,4.16,11.56,198.2,2.93,0,2.17,840.88,0,0,0,0,0,1.37,16.39,0,10.87,33.74,0,0,49.2,348.12,0,6.55,13.09,0,0,7.31,0,0,0,0,0,8.79,0,0,9.29,0,0
