stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,ionocyte,mesenchyme,muscle,neural,otic,spinal.cord,visceral.smooth.muscle
  7-9,6.88,0,0,0,0,0,0,0,0,0,7,0,0,0
 14-21,0,1.86,0,0,0,0,1.11,0,0.99,0.91,1.13,0,1.37,0
 24-34,0,0.6,0.8,0,0,0,0.92,0,3.8,1.65,0.6,0,0,0
 36-46,0,0,0,2.92,0,0,0,0,1.09,1.46,2.66,0,0,0
 48-58,0,0,0,0,3.18,0,0,0,0.41,0,9.6,0.7,0,0
 60-70,0,0,0,0,10.95,0,0,0,0.71,0.77,28.99,2.59,4.91,0
 72-82,0,0,0,0,30.6,0,0,0,5.03,0,47.02,0,2.74,0
 84-94,0,0,0,0,10.56,0,0,0,3.41,1.05,10.56,2.04,1.33,0
 96-106,0,0,0.56,0,6.17,0,0.7,1.58,0,0,36.67,1.75,2.54,1.22
108-118,0,0,0,0,10.96,0.45,0,0,3.28,0,38.83,1.81,0,0
120,0,0,0,0,15.96,0,0,0,0,0,20.87,0,0,0
