stage,blastomeres,eye,gut,hatching.gland,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm
  3-4,21.89,0,0,0,0,0,0,0,0,0
  5-6,39.4,0,0,0,0,0,0,0,0,0
  7-9,0,20.5,0,3.23,0,18.08,4.67,0,9.77,3.78
 10-12,0,0,0,6.55,0,8.01,9.41,0,0,0
 14-21,0,0,0,0,1.06,0,0,0,0,0
 36-46,0,0,0,0,0,1.07,0,1.42,0,0
 48-58,0,0,0,0,0,0,0,3.52,0,0
 60-70,0,0,0,0,0,0,0,2.86,0,0
 72-82,0,0,0.76,0,0,0,0,0.49,0,0
 84-94,0,0,2.4,0,0,0,0,1.84,0,0
 96-106,0,0,0,0,0,0,0,4.2,0,0
108-118,0,0,4.72,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,18.19,0,0
