stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,109.53,1635.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.02,0,0,0,0,0,0,0,0,0,0
  5-6,70.27,1126.08,0,0,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0,0,0,0,48.07,0,0,0,24.36,0,17.14,0,0,0,0,0,0,0,0,0,0
  7-9,26.16,13.65,0,15.95,0,0,0,30.13,0,0,0,0,0,14.45,0,0,0,0,0,0,0,0,0,0,377.12,9.02,0,0,103.56,0,0,8.64,0,0,0,0,0,0,0,0,0
 10-12,0,7.81,0,10.05,0,0,0,14.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.05,10.98,0,0,7.53,0,0,9.99,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,7.32,0.82,0,0,0.82,0,0,0,4.99,0,0,5.03,1.93,0,0,0,0
 24-34,0,0,0,0,3.38,0,0,5.14,0,2.47,0,0,0.69,0,0.67,0,0.68,0,0,0,4.07,0,0,0.67,18.44,0,0,0,0,0,4.96,0,0,13.89,1.6,2.19,4.68,0,1.24,0,0
 36-46,0,0,0,0,0.85,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,1.68,15.53,0,0,0,0,0,0,0,0,1.89,0,0,3.83,0,1.94,0,0
 48-58,0,0,0,0,1.73,0,0,6.76,0,4.99,0,2.13,4.65,0,0,0,0,0,0,0,6.53,0,0,1.01,6.84,0,0,0,0,0,4.7,0,0,3.47,1.61,0,6.35,0,0,0,0
 60-70,0,0,0,0,0,0,0,6.47,1.04,0,0.87,5.58,3.53,0,0,0,0,0.63,0,0.74,13.8,0,0,1.01,4.58,0,0,0,0,0,0.68,0,0,21.74,2.94,0,1.26,0,0,0,0
 72-82,0,0,0,0,1.48,6.43,0,12.77,0,0,3.54,20.75,16.62,0,0,0,0,0,0,18.29,28.71,0.61,5.89,1.95,16.49,0.53,0.58,0,0,1.61,0,0,0,31.84,0,0,6.52,0,3.49,0,0
 84-94,0,0,1.29,0,5.2,0,1.54,11.85,0,0,4.2,27.54,15.57,0,0,0,0,0,0,42.28,24.52,0.61,0.89,6.22,26.87,0,0.61,0,0,0,3.57,0,0,47.21,0,0,2.97,0.66,1.96,0.78,0
 96-106,0,0,0,0,0.61,0,0.8,20.79,0,11,28.14,32.34,30.63,0,0,1.1,2.81,0.6,0,46.67,24.5,1.24,1.32,0,31.98,0,2.6,1.43,0,0,8.19,0,0,56.7,0,0,0,0,3.11,0,0
108-118,0,0,0,0,4.88,0,2.18,22.95,0,0,5.44,24.43,45.94,0,0,0,0,0,0.87,143.63,36.97,0,0,0.99,41.57,0,0,0,0,0,8.21,0,0,84.49,0,0,2.71,0,1.05,1.52,1
120,0,0,0,0,3.62,0,1.89,3.28,0,1.41,0,73.25,65.57,0,0,1.26,0,0,4.1,115.07,19.85,0,14.27,6.23,59.23,5,0,0,0,0,8.87,0,0,88.07,1.22,0,5.86,0,3.03,0,0
