stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,50.8,1914.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.25,0,0,0,0,0,0,0,0,0
  5-6,82.08,1536.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.87,0,0,0,26.29,16.59,0,0,0,0,0,0,0,0,0
  7-9,67.21,24.97,69.06,0,0,0,170.96,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,868.54,27.36,0,0,366.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.07,21.75,0,12.48,0,45.52,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,0,1026.96,31.94,0,0,378.34,0,14.14,4.76,12.3,0,0,0,0,0,0
 14-21,0,0,0,48.81,15.83,0,20.97,0,0,0,10.58,1.66,0,0,0,0,0,0,0,0,22.58,0,0,24.8,328.85,6.18,4.5,8.81,12.04,0,0,61.69,9.54,0,14.63,115.39,0,0,0
 24-34,0,0,0,9.55,0.96,0,68.83,0,0,0,18.24,0,1.82,0.92,0.62,0,0,1.38,2.7,0,44.25,0,0,12.52,723.21,5.05,7.67,4.85,0,22.55,0,3.08,5.22,1.98,3.64,175.18,5.23,0,6.13
 36-46,0,0,0,10.68,0.9,0,186.12,0,1.24,0,13.45,1.04,0,0.87,0.64,0,0,0.57,1.14,0,66.3,0,3.13,7.09,509.06,3.73,4.91,1.51,0,12.24,0,1.05,4.64,0,0,140.19,8.02,0,0
 48-58,0,0,0,3.62,4.17,0,238.6,0,0,0.83,13.18,0,0,1.11,0,4.37,0,0,0,0,47.02,0,2.15,7.7,213.5,0,5.02,8.1,0,2.79,0,0,0.44,0,0,54.33,2.28,0.5,3.52
 60-70,0,0,0,1.75,0,0,180.87,0,0,0,11.79,2.05,0,4.7,0,0,1.15,1.39,0,0,75.12,0,4.56,3.71,121.41,0,1.09,1.38,0,13.37,0,0,0,0,0,5.19,0,0,0
 72-82,0,0,0,5.33,0,0,71.59,0.55,1.58,0,14.18,0,0,0.5,0.62,0.53,0.9,0,0,0,45.9,0.73,2.54,9.56,74.86,0.58,3.37,1.27,0,3.33,0,0,0,0,0,3.96,4.33,0,0
 84-94,0,0,0,8.18,1.94,0.64,52.74,0,0,0,21.48,4.54,0,1.16,3,0,0,2.38,0,0,43.98,0,15.1,5.88,81.26,0,5.04,0.64,0,3.54,0,0,0,0,0,1.55,4.97,0,0
 96-106,0,0,0,0.6,0,2.94,72.49,0,0,1.52,19.71,1.42,0,0.66,0.7,0,0,2.07,7.6,0,16.37,0,2.17,1.63,80.49,0,4.92,2.43,0,0.95,0,0,0.7,0,0,3.25,0,1.59,0
108-118,0,0,0,5.91,1.5,0,53.51,0,1.57,0,16.09,3.14,0,1.01,3.04,0,1.34,0,0,0,38.4,6.85,2.68,5.69,115.5,0,8.7,1.3,0,7.77,0,0,0.43,0,0,0,7.97,0.66,0
120,0,0,0,4.57,0,0,86.05,0,0,1.61,5.55,0,0,0,4.92,0,0,0,3.71,1.6,30.64,0,0,2.09,65.47,0,1.61,0,0,5.23,0,0,1.83,0,0,0,1.44,0,0
