stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,27.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.85,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0.92,0,1.72,19.45,0,0,0,2.56,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,8.51,0,2.23,0,0,0,0,1.63,0,0,0,0,0
 48-58,0,0,0,0,3.03,0,0,0,0.76,0,0,0,0,0,0,13.43,0,0,1.32,0,0,0,14.59,0,1.91,0,0,0,0,4.52,0,0,0,0,0
 60-70,0,0,0,0,2.44,0,1.28,0,0,0,2,0,0,0,0,216.06,0,0,6.61,0,0.87,0,28.84,0,10.38,25.8,0,0,0,10.13,0,6.14,0,0,0
 72-82,0,0,3.66,0,9.98,0,0.78,0,1.83,1.02,0,1.04,0,0.56,0,443.56,0,0,40.21,0,0.51,0.58,67.18,0,0,2,5.14,0,0,10.64,3.74,1.39,3.72,4.32,0
 84-94,0,0.97,2.33,0,30.71,2.25,0,0,0.59,0,0,0,0,0.61,0,1736.73,0.58,0,23.08,0,5.12,0,54.28,0,3.63,3.1,6.6,0,0,3.13,1.36,0.64,3.59,0.78,0
 96-106,0,11.1,23.53,20.88,57.63,3.05,2.11,0,17.54,5.32,0,0,4.24,0.73,2.05,2099.8,11.37,2.33,83.18,2.31,9.22,1.65,117.28,0.73,14.03,8.64,13.44,0,0,14.29,0.62,9.61,16.02,0.91,10.12
108-118,0,13.45,0,2.84,29.66,0,0,1.02,9.03,0.62,0,0,0.51,3.25,0,2989.12,5.99,0,111.56,0,3.84,3.76,119.77,1.61,4.87,10.65,9.9,0.42,0,3.01,2.67,4.38,5.59,3.22,2.33
120,0,14.13,0,0,37.89,0,0,0,13.41,0,0,0,5.78,1.29,0,1853.62,0,0,54.93,0,0,0,118.98,0,13.7,21.95,0,0,0,12.63,0,0,6.37,7.27,0
