stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste,vasculature
  3-4,0,34.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06,0,0,0,0
  5-6,0,6.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,0,0,0,10.2,0,0,0,19.69,0,0,0,0,0,0,0,0,8.61,0,0,0,3.4,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,12.01,0,0,0,0,0,0,0,0,13.04,3.54,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,6.73,0,0.97,0,0,0,0.95,0,4.88,0,0,0,0.99,0,0,1.24,0.93,0,0
 24-34,0,0,0,0,0,2.27,0,0,0,5.19,0,0.7,0,0,0,5.46,0,0,13,0,1.31,1.68,0,0,0,2.25,0,0.76
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,63.43,0,0,0.96,0,0,0,13.18,0,0
 48-58,0,0,0,3.05,0,2.18,0,1.9,0,0.37,0,0,0,0,0,2.75,0,1.05,39.95,0,0.37,0,0,0,0,12.37,0,0
 60-70,0,0,0.7,0,0,6.06,0,0.85,0,0,0,0,0,0.57,0.84,5.07,0,1.91,95.69,0,5.94,2.6,0,0,0,2.65,0.61,0.63
 72-82,0,0,2.68,0.51,2.46,39.31,0,8.03,4.35,0,0,0,0,0,4.12,8.84,0,4.06,115.84,0,0.88,2.11,0,3.61,0,19.14,0.82,0
 84-94,0,0,0,3.86,0.74,21.59,0,1.33,0.84,1.3,0,0,0,4.04,1.7,14.32,3.12,0,103.38,0,0.8,6.55,0,0,0,13.68,0,0
 96-106,0,0,0.63,4.74,0,42.86,0.66,3.54,0,1.06,3.18,0,0,4.91,2.22,9.18,0,0,88.45,0,3.25,4.29,0,0,0,3.34,0.81,7.38
108-118,0,0,0,1.6,0.71,53.94,0,4.39,2.49,0,1.49,0,0.51,3.29,1.61,2.75,0,1.15,114.67,0,2.06,3.4,0,0.76,0,3.02,9.92,1.1
120,0,0,0,3.84,0,55.34,0,14.38,0,0,4.03,2.5,0,4.16,0,0,0,0,284.42,0,4.83,12.79,0,0,0,0,3.15,3.35
