stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.77,0,0,0,0,0,0,0,0
  5-6,16.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.72,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,0,4.11,0,52.33,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.39,0,0,0,50.29,0,19.94,0,14.94,0,0,0,0,0,0
 14-21,0,0,0,19.94,0,9.88,0,0,0,0,0,0,0,0,6.26,0,0,0,0,0,3.27,0,0,13.39,14.42,0,0,0.98,0,1366.17,2.98,0,0.83,5.79,0,0,0,0
 24-34,0,0,0,20.51,0,4.58,0,4.13,0,0,0,0,0,0,13.58,0,0,0,0,3.46,26.68,0,4.46,107.69,0,1.78,3,0,0,2818.88,0,1.77,0,4.94,0,3.23,0,0
 36-46,0,0,0,11.11,0,6.08,1.3,15.34,0,0.73,0,0,0,0,23.88,0,2.35,0,0,3.64,24.01,0,1.36,104.31,2.31,3.32,1.66,0,0,3336.15,0,0,2.35,16.28,0,3.18,0,1.45
 48-58,0,0,0,43.52,0,28.02,0,15.01,0,7.08,0.93,3.13,0.45,0.58,8.95,0,0.85,0,0,15.81,21.64,0,0,95.25,0,3.04,0,0,0,2366.17,0,1.87,0,7.78,0,0,0,0.63
 60-70,0,0,0,67.67,1.2,38.75,0,14.09,0,3.08,0.64,1.71,0,0,11.65,0,0,0,0,7.74,18.99,0,2.58,47.13,0,1.49,0.58,0,0.71,1723.75,0,0,0,4.49,0,0,0,0
 72-82,0,0,0,93.12,0,36.73,0,12.37,0.58,3.1,7.76,0,0,0,18.4,0,2.74,0,0,8.68,20.32,0,3,53.83,0,4.56,1.9,0,0,1013.7,0,0,0,0,8.65,1.79,0,0
 84-94,0,0,0,234.15,0,31.56,0,33.67,0,13.05,34.02,7.34,1.46,0,41.55,0,4.41,0,0,4.77,16.87,0,0.81,31.22,0,1.65,5.3,0,0,2407.52,0,0,0,0,28.88,2.24,0,7.91
 96-106,0,0,0,369.86,0,72.51,0,54.47,0,11.01,74.73,0,0,2.17,80.42,0,3.37,0,0,13.85,28.17,2.51,3.91,59.66,0.62,2.29,1.49,0,0,2701.68,0,0,0,1.45,46.47,0,3.6,1.24
108-118,0,2.35,0.44,358.88,2.57,31.9,0.76,68.72,0,6.47,88.6,0,0.56,1.09,64.08,0.64,3.47,0.6,2.47,13.18,61.47,0,1.09,68.61,0,5.93,0.76,0,2.35,2093.76,0,0,0,0,62.88,0,0,0
120,0,0,0,228.35,0,16.97,0,37.58,0,0,38.69,0,0,0,25.34,0,0,0,0,5.22,28.73,0,1.82,18.73,0,4.96,2.84,0,0,1217.89,0,0,0,0,16.55,0,0,0
