stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,4.83,32.43,6.34,0,25.74,0,0,0,4.77,2.04,2.04,0.89,0,0,0,0,0,0.85,22.64,0,0,15.08,262.87,3.92,0,1.8,5.81,0,3.33,0,23.87,0,0.94,30.87,70.43,0,0,0,0,0
 24-34,0.96,1.36,25,0,0,33.67,0.9,3.32,0.62,18.89,0,0,0,0,0.64,0,1.71,0.62,0,31.61,0,0,9.47,663.31,2.03,10.68,7.21,0,0,4.42,0,0,0,0,4.8,173.23,0,0,7.36,0,0
 36-46,0,0,1.83,1.13,0,120.01,0,3.13,0,31.61,0,0,1.34,0,0,0.61,2.66,0,1.19,52.82,0,0.98,10.66,1112.23,0.65,11.7,4.98,0,0,0,0.81,0,0,12.86,0,307.05,0,0,7.96,0,1.69
 48-58,0,0.45,10.52,0,0,300.37,0.58,4.97,0.94,47.57,0.56,0.48,2.06,0.47,0,0,0.5,2.86,0,60.14,2.05,3.72,11.77,1010.63,2.56,6.61,5.29,0,0.45,4.41,0,0,0.53,6.02,0,228.87,0,0.85,0.85,0,5.44
 60-70,0,0,4.23,0.58,0,689.23,0,1.27,0.76,75.2,1.28,0.97,0,4.98,0,0,0,7.79,0,82.98,3.18,0.68,11.39,1328.88,0,5.77,7.28,0,0,5.25,0,0,0.6,0,0,218.1,0,1.31,2.33,0,0
 72-82,0.69,0,9.7,1.29,0,446.73,0,0,0.99,64.92,4.92,0,4.39,3.33,0.63,0,2.88,2.8,0,96.65,0,6.05,30.44,997.29,0,7.94,15.66,0,1.67,12.49,0,0,1.73,0,0,136.41,0.88,0.66,5.72,3.03,3.15
 84-94,0,0,16.09,0.77,0,390.3,0,2.34,6.1,58.76,3.98,2.66,1.22,12,0.94,2.12,1.7,0,0,105.51,0,7.03,11.71,834.8,0,7.33,7.44,0,0,19,0,0,4.61,0,0,83,0,0.74,7.8,5.19,0
 96-106,2.94,1.03,24.25,19.92,0,257.54,0.93,3.47,3.08,77.51,5.63,0,1.42,11.25,0.6,4.35,2.57,0,0,101.05,3.69,0.59,19.77,609.68,1.15,7.28,12.06,0,0.83,13,0,0,0,0,0,43.83,0,0,13.28,4.05,0.8
108-118,3.27,0.74,27.94,5.72,3.19,304.46,0,2.06,2.33,47.66,0.42,0,2.4,12.23,2.38,0,0.98,6.66,3.9,88.73,6.43,1.9,13.81,751,0.46,11.29,14.08,0,10.71,8.17,1.18,0,1.74,0,0,34.2,1.44,2.84,12.61,3.56,0
120,0,0,49.79,7.76,0,187.8,1.26,2.67,2.36,81.11,0,0,0,18.29,0,1.59,3.53,1.1,0,110.4,0,3.7,9.87,1031.43,0,1.99,3.91,0,0,3.37,0,0,1.58,0,0,43.04,3.53,1.95,19.88,0,2.34
