stage,endoderm,eye,fin.epithelia,glial,gut,iridophores,mesenchyme,mucous,muscle,neural,notochord,periderm,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,6.12,0,0,0,0,0
 10-12,5.98,0,0,0,0,0,0,0,0,6.44,0,0,0,0,0
 14-21,0.9,0,0,0,0.87,0,4.2,0,0,1.54,0,0,0,0,0
 24-34,0.68,0,0.89,1.4,0,0,0,0,0.61,9.32,0,0.98,4.47,0,0
 36-46,0,6.5,0,0,0,0,0,0,0,13.01,0.58,0,4.41,0,0.85
 48-58,0,2.69,0,3.93,0,0,0,0,0,7.57,0,0,0.54,0,0
 60-70,0,11.26,0,0.97,0,0,1.94,0,0,4.86,0,0,0.66,1,0
 72-82,0,0,0,1.57,0,0,0,0,0,4.61,0,0,0,0,0
 84-94,0,1.11,0,0,0,0,0.94,0,0,2.59,0,0,1.08,0,0
 96-106,0,1.63,0.57,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,5.81,0,0,0,0,1.19,3.11,0,3.96,0,0,0,0,0
120,0,0,0,0,0,1.17,0,0,0,38.96,0,0,0,0,0
