stage,blastomeres,epidermis,exocrine_pancreas,eye,fast_muscle,glial,gut,heart,ionocyte,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,31.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.24,0,0,0,0,0,0,0,0,0,0,0,24.82,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,18.34,16.68,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.58,9.26,0,0,0,0
 14-21,0,5.46,0,0,0,0,0,0,0,0,1.08,0,0,0,0.9,0,0
 24-34,0,0,0,0,0,0,0,0,1.02,0,0,4.16,0,1.27,0,0.85,5.47
 36-46,0,0,0,1.56,0,0,0,0,0.77,0,0,1.01,0,3.97,0,1.53,0
 48-58,0,0,0,24.69,0,0,0,0,0,0.53,0,23.48,0,0.4,0,2.66,1.03
 60-70,0,0,0,36.53,0,0.84,0,0,0,0,0,14.34,0,1.75,0,0,0
 72-82,0,0,0,24.83,0,0,0,0.75,0,3.01,0,6.97,0,0,0,0.64,7.51
 84-94,0,0,0.76,20.12,1.27,0,0,0,0,0,0,8.14,0,2.34,0,1.49,5.75
 96-106,0,0,0,27.53,0.64,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.55,15.73,0.67,0,1.95,0,0.58,0,0,6.46,0,0,0,0,0.65
120,0,0,3.96,33.69,0,0,0,0,0,0,0,26.35,0,0,0,0,0
