stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,134.16,1306.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248.11,0,0,0,0,0,0,0,0,0,0
  5-6,415.18,2012.48,0,10.26,0,0,0,0,0,0,0,0,82.72,0,0,0,0,0,0,0,0,0,0,361.43,10.41,0,0,67.84,0,90.33,0,0,0,0,0,0,0,0,0,0
  7-9,319.53,88.66,0,400.23,0,0,17.32,0,0,0,0,0,325.7,0,0,0,0,0,0,0,0,0,0,756.17,231.2,0,0,2353.28,0,0,17.66,0,0,0,0,0,0,0,0,0
 10-12,0,42.29,0,134.53,0,18.08,5.88,0,0,0,0,0,106.57,0,0,0,0,0,0,0,0,0,0,531.14,312.42,0,0,1312.98,0,7.59,0,0,122.03,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,29.69,10.43,10.04,0,0,0,2.52,2.33,3.68,0,0,0,0.87,1.89,0,45.47,0,0,27.48,59.47,700.42,0,0,6.15,0,4.34,0,159.34,6.23,0,23.31,59.05,0,3.5,0,1.85
 24-34,0,0,1.94,0,8.02,1.25,8.29,0,9.69,7.57,8.84,0,0,4.87,0,0,0,0,1.24,135.15,0.63,0,104.96,118.25,654.11,2.59,1.33,0,0,1.71,0,0,5.72,0,11.85,81.82,0,21.66,0,0
 36-46,0,0,0,0,1.69,0.81,8.97,0,13.69,19.72,37.57,0,0,3.2,0,0,0,0,0,250.45,0.56,0.6,78.61,157.63,702.23,2.16,2.22,0,0,1.65,0,0,5.26,0.88,0,65.42,0,6.67,0,9.36
 48-58,0,0,0,0,5.17,0,35.65,0.46,1.77,32.57,43.84,2.96,0,2.37,0,0,0,0,0,330.29,0,0.75,38.98,131.77,647.45,0,2.09,0,2.5,0,0,0,0.4,0,0,45.75,0.64,3.48,0,0.66
 60-70,5.85,0,0,0,2.54,0,8.79,0,0,37.48,88.41,0,0,2.95,0,0.61,4.41,0,0,752.53,0,9.31,23.79,103.43,462.64,1.31,3.47,0,2.06,5.43,0,0,0,0,0,38.68,9.25,2.09,3.4,0
 72-82,0,0,0.79,0,1.06,0,22.7,0,2.5,15.71,49.44,0.93,0.49,0.51,0,0,0.83,0,0,535.5,0,17.35,26.51,51.6,224.24,1.03,1.31,0,3.07,0,0,0,0.55,0,0,4.88,5.81,3.84,5.68,7.79
 84-94,0,0,0,0,0,0,29.73,0,9.48,16.11,47.11,0,0,4.01,0,0,2.76,1.81,1.76,506.7,0,12.75,18.57,53.68,351.23,0,3.68,0,2.65,2.47,0,0,0,0,0,8.07,7.79,5.3,10.04,0
 96-106,0,0,0.91,0,5.99,0.95,15.02,0,0,22.35,35.97,0,0,1.61,0,0,1.36,1.19,0.69,291.14,0,4.21,15.24,29.44,186.53,0,1.84,0,3.23,0,0,0,0,0,0,4.45,6.61,9.72,14.97,5.92
108-118,0,0,0,0,3.74,0,19.44,0,0,11.54,45.18,0.59,0,0,1.04,0,1.91,0,0,275.61,1.09,1.44,2.8,72.72,191.81,0,1.9,0,3.39,0.5,0,0,0.87,0,0,3.64,4.2,3.95,7.8,9.56
120,7.42,0,0,0,1.76,0,30.8,0,0,1.85,36.74,0,0,15.7,0,2.21,0,7.08,0,297.8,1.56,0,22.69,111.8,263.35,0,0,0,4.59,0,0,0,3.32,0,0,21.54,2.41,5.34,17.17,0
