stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,58,56.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,81.11,0,0,0,0,0,0,0,0,0,0,30.34,0,0,0,0,0,0,0,0,0,21.66,0,0,0,10.04,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,103.73,24.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.11,36.17,0,0,170.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.23,3.95,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.1,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.79,5.62,0,0,0.97,0,0,4.79,1.04,0,2.83,4.75,0,0,0,0,0
 24-34,0,0,1.62,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,49.08,0,0,0,0,0,0,0,0,0,0,19.5,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,11.73,0,0,0,52.99,0,0,0,0,0,6.15,0,1.04,0,0,15.43,0,0,0,0,0
 48-58,0,0,0,4.78,0.43,0,3.41,0,0,1.24,6.23,0,0,0.89,0,0,0.96,0,1163.7,0,0,0,9.43,0,0.91,0,0,0,0,0,0.95,0,0,4.87,0,0,0,0,0
 60-70,0,0,0,29.1,0,0,46.99,0,0,0,2.13,0,0,0,3.06,0,0,0,5373.01,0,1.81,13.92,44.02,1.36,0,0,0,0,5.04,0,0,0,0,7.25,0,0,5.3,0.61,0.97
 72-82,0,0,0,31.02,9.83,0,116.16,2.21,0,0,7.24,0,0,0,1.71,0.91,0,0,8283.71,0,0,3.3,113.54,0,3.17,0,0,1.4,9.23,0,0,0,0,13.21,0,2.83,2.63,0,3.36
 84-94,0,0,0,27.73,1.75,0,145.08,0,0,1.43,4.82,0.76,0,0,11.83,0,1.17,20.7,9501.36,2.35,0.55,1.36,37.15,0,0,0,0,0,12.8,0,0,0,0,1.09,0,5.7,7.19,0,0
 96-106,0,0,0,28.35,10.88,0,41.29,0.67,0,0,3.83,0,0,0,12.35,0,0,0,3549.1,0,0.69,0,58.72,0,1.81,3.78,0,0,0,0,0.69,1.31,0,0,2.03,0,0,2.36,1.79
108-118,0,0,0,8.01,2.43,3.96,32.47,0.76,3.51,2.53,5.94,0,0,1.81,1.53,0,2.99,0,2356.1,0,0,9.49,43.33,0,0,0,0,0,7.36,0,0,0,0,0.45,0.51,0,4.12,1.26,0
120,0,0,0,19.34,1.94,0,17.62,0,0,0,1.51,0,0,0,1.85,0,39.15,0,1524.72,0,0,0,32.9,4.03,0,0,0,0,2.12,0,9.54,0,0,0,0,0,0,4.76,0
