stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,34.54,586.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.86,0,0,0,0,0,0,0
  5-6,32.73,648.32,0,0,0,0,0,0,0,0,0,0,25.98,0,0,0,0,0,0,0,6.4,0,0,31.59,0,8.98,0,0,0,0,0,0,0
  7-9,0,4.62,18.55,0,0,0,9.04,0,0,0,0,0,33.12,0,0,0,0,0,0,0,182.85,3.67,0,55.2,0,0,0,0,0,0,0,0,0
 10-12,0,5.3,0,0,0,0,16.17,0,0,0,0,0,27.36,0,0,0,0,0,0,0,98.07,0,0,61.67,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.93,0,1.2,0,2.93,0,0,0,1.75,0,1.29,0,0,0,1.03,0,0,0,19.09,0,0,0.92,0,0,8.75,0,3.97,3.71,0,0,0
 24-34,0,0,0.64,0,0,0,0,0,0,0,0,0,0.67,0,0,0,2.01,0,0,0,13.22,0.59,0,0,0,1.86,0,0,0.96,1.28,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0,0,3.86,0,0,0,0,2.55,0,4.27,0,4.01,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,1.08,0,0,0,14.11,0,0,0,0,0,0,2,0,4.07,0,0.83,0
 60-70,0,0,0,0.61,0,0,0,0,0,0,1.24,0.81,0,1.83,0,1.32,1.67,0,0.93,0,3.91,0,0,0,2.33,2.77,0,3.25,0,2.55,0,0,0
 72-82,0,0,0,0,0,0,2.71,0,0,0,4.24,0,0,0,0,10.43,7.23,0,0,2.02,7.8,0,0.61,0,0,0,0,6.91,0,6.73,0,0,0
 84-94,0,0,0,0,2.93,0,14.92,0,0.79,0,5.58,2.26,0,1.69,0,17.66,5.69,6.26,0,0,9.8,0,0,0,0,13.11,0,14.45,0,7.91,2.02,2.67,3.62
 96-106,0,0,0,0.65,0,0,31.87,0,0.96,0,7.45,1.46,0,1.98,0,25.52,7.52,0,1.01,0,15.78,0.57,0,0,0,10.95,0,8.4,0,1.15,0,9.48,0
108-118,0,0,0,2.52,0.52,0.43,17.43,0.47,0.56,0,15.7,6.7,0,0.65,3.54,78.16,13.57,0,0,1.41,33.35,0.44,0,0,0,15.83,0,17.83,0,2.44,0.66,0.64,0
120,0,0,0,3.88,1.28,0,3.9,0,0,0,8.11,8.52,0,12.4,1.91,60.39,1.97,0,0,0,22.24,1.62,0,0,0,5.49,0,23.14,0,0,2.82,7.88,0
