stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,49.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0
  5-6,7.35,171.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.83,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.76,21.76,0,8.64,0,0,17.59,0,0,0,0,0,18.85,0,0,0,0,0,0,0,0,391.99,5.22,0,0,180.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.48,0,35.77,0,0,21.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.72,4.54,0,0,128.52,0,5.55,0,22.21,0,0,0,0,0,0,0
 14-21,0,0,1.07,1.1,7.39,2.03,1.99,0,0,0,0,0,0,0,0,0,0,0,2.08,0,5.7,39.57,2.62,0,1.67,1.53,0,0,5.91,0,0,13.2,10.22,0,0,0,0
 24-34,0,0,0.66,0,2.35,0,2.56,0,0,0,0.75,0,0,0,0,0,0,0,9.48,0,5.89,91.85,0,3.38,1.95,0,1.11,0,0,0,0,2.32,23.15,0,0,0,0.6
 36-46,0,0,0,0,2.46,0,16.53,0,0.69,0,10.3,0,0,0.65,0,0,0,0,10.25,1.66,0,179.09,0,1.01,0,0,18.87,0,0,0.65,5.53,0,33.74,0,1.48,0,0
 48-58,0,0,0,0,3.83,0,50.67,0,0.37,1.12,6.5,0.38,0,0,0,0,6.52,1.15,15.27,0,1.77,182.3,0,0,6.29,0,0,0,0,0,0,0,26.32,0,0.74,0,4.01
 60-70,0,0,0,0,10.4,0,149.99,0,1.24,0.81,14.7,0,0,0,0,0,0,0,27.55,0,4.38,204.33,0,3.05,0.81,0,3.93,0,0,0,0,0,24.94,1.22,0,0,0
 72-82,0,0,0,0,5.47,0,117.39,0,3.67,0,13.51,0,0,0,0,0,0,0,14.51,0.92,2.63,169.95,0,2.86,0,0,0,0,0,0,0,0,9.74,0.67,12.84,0,7.14
 84-94,0,0,1.46,0,0.86,0,86.44,0,0.56,0,5.75,1.45,0,0,0,0.75,0,0.68,14.33,2.23,0.93,70.29,0,0,0,0,2.33,0,0,0,0,0,9.17,0,0,0,0
 96-106,0,0,0,0,3.13,0,47.11,0.58,0,1.05,6.81,0,0,0,0,0,0,0,8.86,2.05,3.98,49.77,0,1.18,0,0,2,0,0,0,0,0,4.45,0,1.04,1.95,0
108-118,0,0,0,0,1.53,0,27.37,0,0,0,6.21,0,0,0,1.13,0,0.43,0,12.05,0,2.81,72.32,0,1.3,0.91,0,0.69,0,0,0,0,0,3.42,1.46,1.61,1.48,7.71
120,0,0,0,0,0,0,32.12,0,1.31,0,16.14,1.73,0,0,0,0,0,0,13.28,17.36,0,134.46,0,0,0,0,17.24,0,0,0,0,0,8.83,0,0,0,0
