stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,47.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.97,0,0,0,181.41,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,47.51,0,2.43,0,0.82,0,6.06,0.85,1.19,0,0,0,0,0,0,0,36.96,0,0,0,1768.81,1.32,0,0,25.6,0,0,3.13,0,0,186.14,0,0,0,0,0
 24-34,0,0,0.68,60.26,6.24,5.51,0,1.3,0,0,0.78,0,2.79,0,0,0,0,0,0,72.3,0,0,6.36,2117.38,0,2.73,0.78,0,0,1.41,0,0,3.1,97,0,0,3.97,0,0
 36-46,0,0,0,35.53,1.7,11.09,0,0.88,0,0,0,0,0,0,0,0,0,0,1.99,84.79,0,0,22.95,3845.52,0,0,0.8,0,0,4.25,0,0,0,317.13,0,3.38,40.52,0,0
 48-58,1.55,0,0,113.62,10.1,104.21,0,5.37,5.01,19.55,0,0,1.28,0,0,0,0,0,2.22,49.38,0.91,0.5,61.43,4146.09,2.22,2.17,0,0,0,12.53,0,1.01,0,619.57,0,1.28,31.14,0,14.28
 60-70,0,0,0,85.72,0,63.81,7.02,0,0,24.05,0.68,0,0,0,6.34,0,0,0,0,79.22,0.65,0,40.4,2823.81,0,0,0,0,0,10.9,0,0,0,350.23,0,2.24,15.89,0,3.24
 72-82,0,0,0,123.46,2.16,125.39,4.2,0,0,20.7,0,0,5.11,0,1.05,0,0,0,0,110.45,2.01,5.29,19.29,1873.04,0,2.84,0,0,0,9.44,0,0,0,192.68,0,1.84,8.77,0,13.75
 84-94,0.62,0,0,237.89,3.7,88.41,4.05,10.09,0,20.25,1.31,0,3.14,1.88,10.24,0,2.13,0,0,75.81,0,7.08,26.67,1398.59,0,3.32,1.55,0,0,34.61,0,0,0,198.17,0,1.41,30.55,0,0
 96-106,0,0,0,242.84,4.55,110.57,3.05,5.76,1.02,31.4,1.12,0,1.98,2.57,18.64,0,0.58,0,0,88.73,1.6,1.7,29.21,1194.68,0.73,0,4.98,0,2.55,34.52,0,0,0,26.05,1.32,3.03,11.94,2.39,1.6
108-118,0,0,0,245.93,1.81,31.7,3.59,9.09,0,54.86,2.41,0,3.8,0,44.06,0.63,0,0.6,0,60.33,0.43,0,17.04,1965.98,0,0.45,0,0,0,30.76,0,0,0,45.59,0.68,0.8,15.51,0,0
120,0,0,0,251.51,0,67.64,4.93,4.2,0,72.96,0,0,4.54,3.53,11.44,0,0,3.69,0,59.22,0,0,13.64,1480.22,0,0,0,0,0,13.41,0,0,0,31.75,0,0,12.67,0,0
