stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,immune,liver,mesenchyme,muscle,neural,otic,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,32.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,16.44,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,12.82,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,4.2,7.47,10.22,0,0,0,0,3.06,0,0,0
 36-46,0,0,0,0,0,0.86,0,0,0,37.18,40.22,5.98,0,0,0,0,3.03,0,0,0
 48-58,0,2.44,0,3.52,0,3.4,0,0,0,70.92,57.21,25.83,0,0,0,1.38,0,0,0,0
 60-70,0,0,0,7.13,7.07,0.79,0.79,0,0,160.77,26.53,16.12,2.12,0,0,0,3.96,0,0,0
 72-82,0,0,0,3.27,0,1.57,0,0,0,172.51,40.32,10.49,0,0,0,0,0.91,0,0.86,0
 84-94,0,0,0.57,8.24,0,1.48,0,0,1.81,156.21,43.92,6.97,0,0,0,0,3.89,0,0,0
 96-106,0,0,0,2.73,0,3.41,0,0.93,0,87.78,25.3,13.57,0,3,0,0,0,0,0,0
108-118,0,0.43,0,1.74,0,6.59,0,0.72,0,116.23,9.68,11.71,0,1.95,1.02,0,0.95,0.69,0,2.28
120,0,0,0,12.22,0,0,0,0,0,102.03,8.06,11.83,0,4.76,0,0,0,0,0,0
