stage,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord
 14-21,0,1.06,0,0,0,0,0,0,0,0,1.06,2.02,0,0,0,0,0.85
 24-34,0.72,0,0,0,0,3.74,0,8.52,0,0,0,10.9,0,0,0,0,0
 36-46,0,0,0,0,0,2.83,0,0,5.22,0,0,28.61,0,0.85,0,0,3.1
 48-58,0.6,0,3.78,0.65,0,0.6,0,0,0.95,0,0,28.97,0,0,2.04,0,5.59
 60-70,0,0,0.88,0,0,4.23,0,0,3.55,0,0,19.92,0.84,0,0,0,6.78
 72-82,0,0,5.18,0,1.82,3.81,0,0,5.86,0,0,14.76,1.27,0,0,0,0
 84-94,1.4,0,4.34,0,0,3.83,0.64,0,0.83,3.1,0,3.97,0,0,0,0,2.08
 96-106,0,0,11.4,0,0,1.09,0,0,1.22,0,0,3.35,0.97,0,0,0.78,0
108-118,0,8.2,5.47,0,0,0,0,0,1.6,0,0,8.48,1.68,0,0,0,0
120,0,0,11.83,0,0,0,0,0,0,0,0,21.49,0,0,0,0,0
