stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,25.17,192.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.88,0,0,0,0,0,0,0,0,0
  5-6,0,58.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,5.25,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,8.27,0,0,0,0,0,16.29,0,0,0,0,0,0,0,0,0,0,30.93,0,0,9.83,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.96,1.64,0,0,1.67,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,27.45,0.87,0,0,0,0,2.02,0,2.34,23.52,0,0,0,0,0
 24-34,0,0,1.5,0.59,0,2.49,0,12.25,0,0.85,0,0.97,0,0,2.22,0,1.71,0,0,0,0,0,0,0.81,157.42,8.45,8.48,0,0,1.31,0,2.19,0,41.16,0,0,1.46,0,0
 36-46,0,0,0,0,1.16,5.75,0,145.73,0,0,0,0.9,0,0,0,0,0,0.56,0,0,14.04,0,0,0.56,80.68,4.51,3.68,0,0,2.05,0,2.41,0,29.68,0,0,0,0,0.97
 48-58,0,0,0,0,0,14.02,0,190.46,0,0.5,0,2.69,0,0.55,0.63,0,0,0,1.66,1.02,23.81,0.8,0,0,103.81,2.23,0.78,0,0,1.3,0,0.49,0,9.3,0,0,2.9,0,0
 60-70,0,0,3.77,0,6.39,20.27,0,365.12,0,0,0,4.86,2.41,5.24,1.47,0,0,0,0.85,0,89.24,0,0.93,0,49.98,0,7,0,0,2.54,0,6.41,0,2.68,0,1.27,0,0,0
 72-82,0,0,2.47,0,8.49,106.05,0,557.45,0,0,5.15,48.08,10.84,0,2.77,0,0.5,5.04,1.7,0.78,176.69,1.3,1.75,0.51,41.64,0,6.07,0,0,2.1,0,0.73,0,7.28,0,0.52,1,0.53,0
 84-94,0,0,4.92,0,2.33,139.02,1.09,303.46,0.58,1.52,0.91,22.64,15.33,1.22,0,0.58,0,0,2.83,0,172.24,0,0,3,42.33,0,4.06,0,1.01,0.6,0,1.68,0,0.64,1.17,7.4,1.23,0,8.88
 96-106,0,0,1.08,0,6.87,263.81,0,308.66,0.64,0.79,2,31.76,21.43,0,0,0,0,0,7.39,0,288.37,0,7.45,3.51,61.13,0,9.24,0,3.62,3.16,0,0,0,2.2,1.21,2.43,0.85,1.54,4.13
108-118,0,0,2.11,0,4.5,116.52,0,324.14,0,0,0,31.48,18.54,0,0.69,0,0,0.53,6.09,0,366.74,0,9.05,2.72,64.79,0.5,6.9,0,3.66,2.61,0,1.39,0,3.64,0,0.57,1.68,2.43,0
120,0,0,0,0,0,137.84,5.27,104.8,0,0,0,8.86,1.92,0,0,0,7.01,0,2.16,1.08,216.43,1.56,0,0,17.55,2.2,15.37,0,0,7.72,0,0,0,0,0,0,0,0,0
