stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,5.39,0,0,0,0,0,6.69,0,0,7.56,0,0,0,0,0
 10-12,0,0,3.97,0,0,0,0,0,0,0,0,0,4.07,0,0,6.48,0,0,0,0,0
 14-21,0.84,2.02,0,0,0,0,0,0,0,0,0,0,2.06,0,0,0,0,5.64,0,0,0
 24-34,0,0,1.82,0,0,0,0,0,3.85,0,0,0,14.5,0.96,3.22,0,0.73,1.43,0,0,0
 36-46,0,0,2.1,0,0.72,0,0,0,3.11,0,2.71,1.8,24.81,0,0,0,2.38,1.52,0,0.69,0
 48-58,0,0,0,6.54,0.86,0,0,0,1.3,0,0,0,12.27,1.3,0,0,0,5.34,0,0.41,2.45
 60-70,0,0,0,0,0.9,1.32,0,0,2.17,0,0,2.34,10.62,0,0,0,0.69,12.88,0,0,0
 72-82,0,0,3,0,0,2.48,0,0,4.92,0,0,1.33,13.3,0,0.61,0,0.96,0,0,1.51,0
 84-94,0,0,3.78,0,0,2.23,0,0,1.01,0,0,0,1.63,0,0,0,2.22,0,0.77,0,0
 96-106,0,0,3.08,0,0,0,0,0,7.67,0,0,0.9,0,0,0,0,0,0,0,0.76,0
108-118,0,0,1.12,0,0,1.18,0,0,4.28,0.51,0,4.07,0.89,0,0,0,0.44,0,0,2,0
120,3.59,0,0,0,0,11.53,0,3.69,2.32,0,0,0,20.14,2.97,0,0,1.04,0,0,0,0
