stage,axial,blastomeres,endoderm,eye,gut,hatching.gland,immune,lateral.line,mesenchyme,neural,paraxial.mesoderm,pgc,slow.muscle
  3-4,0,164.55,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.3,71.72,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.48,0,0,0,0,0,0,0,0,40.69,8.45,7.7,0
 10-12,0,0,0,5.31,0,0,0,0,0,3.63,0,0,0
 14-21,0,0,0.96,0,0,0,0,0,0,1.01,0,0,0.88
 24-34,0,0,0,0,0,0,0,0,0.86,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,7.83,0,0,0
 72-82,0,0,0,0.49,0,0.55,0,0,0,6.82,0,0,0
 84-94,0,0,0,0.57,0,0,0.74,0.63,0,0,0,0,0
 96-106,0,0,0,1.89,0,0,4.13,0,0,4.58,0,0,0
108-118,0,0,0,0.48,0.45,0,8.42,0,1.68,1.48,0,0,0
120,0,0,0,1.08,0,0,11.63,0,0,1.84,0,0,0
