stage,blastomeres,erythrocytes,eye,gut,immune,mesenchyme,muscle,neural,paraxial_mesoderm,visceral_smooth_muscle
  3-4,9.41,0,0,0,0,0,0,0,0,0
  5-6,10.64,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.14,0,0
 10-12,0,0,0,0,0,0,0,0,9.14,0
 24-34,0,0,0,0,0,1.04,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.87,0,0
 48-58,0,0,1.05,0,0,0,0,6.69,0,0
 60-70,0,0,0.79,0,0,0,0,1.27,0,0
 72-82,0,0,0,0,0,0,1.86,1.6,0,0.85
 84-94,0,0,2.22,0,0,6.08,0,0,0,0
 96-106,0,0,0,0,7.34,0,0,0.72,0,0
108-118,0,0,0,0,10.69,1.03,0,4.04,0,0
120,0,3.81,0,5.27,11.09,0,0,0,0,0
