stage,axial,eye,heart,mesenchyme,neural,vasculature
 10-12,0,0,0,0,7.43,0
 24-34,0,0,0,0,0,16.28
 36-46,0,0,0,0,0.95,17.11
 48-58,0,0,0.6,0,1.57,23.93
 60-70,2.52,0,0,0,1.43,4.83
 72-82,0,0,0,0,0,12.96
 84-94,0,2.73,0,0,0,34.81
 96-106,0,0.88,2.53,1.78,0,23.84
108-118,0,0,0,0,0,33.89
120,0,0,0,0,0,84.41
