stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,1077.28,33037.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1259.18,0,0,0,0,0,0,0,0,0,0
  5-6,268.23,4148.34,0,8.02,0,0,0,0,0,0,0,0,0,26.83,0,0,0,0,0,0,0,0,0,0,122.47,0,0,0,0,0,97.89,0,0,0,0,0,0,0,0,0,0
  7-9,13.28,25.52,0,23.29,0,0,0,50.86,0,0,0,0,0,115.08,0,0,0,0,0,0,0,0,0,0,331.38,0,0,0,76.83,0,0,34.09,0,0,0,0,0,0,0,0,0
 10-12,0,13.95,0,18.95,0,0,0,18.18,0,0,0,0,0,66.59,0,0,0,0,0,0,0,0,0,0,204.55,4.01,0,0,178.27,0,0,8.7,0,23.95,0,0,0,0,0,0,0
 14-21,0,0,0,0,23.49,7.96,0,11.18,0,0,0,2.36,0,0.86,2.01,0,0,0,0,10.68,0,24.96,0,18,158.72,0.87,0,0,4.24,0,0,0.9,19.53,0,28.12,24.41,0,0,7.98,0,0
 24-34,0,0,0,0,4.69,2.99,0,36.49,0,0,8.81,7.72,0,0,0,0.67,1.45,0,0,15.59,0.6,29.47,0,12.46,346.27,0,0.66,0,0,0,2.11,0,0.71,0,36.31,86.92,0,0,69.31,0,0
 36-46,0,0,0,0,19.2,0,0,208.96,0,8.76,8.93,17.19,1.33,0,0,2.69,0,0,0,20.97,6.5,43.04,2.86,14.74,317.9,9.95,0.62,0,0,0,3.27,0,0,0,0,71.53,0,0,41.9,0,0
 48-58,0,0,0,0,0,1.76,0,478.67,0,5.35,7.21,25.35,0,0,0.55,0.5,0,0,0.41,1.47,4.57,34.38,2.73,11.62,182.42,0,0,4.08,0,0,1.6,0,0,0,0,48.37,0,0,14.51,0,0
 60-70,0,0,0,0,0.72,0,0,847.29,0,0,11.09,31.03,3.53,0,0.59,0.63,1.1,0,0,0.68,3.9,55.17,1.44,3.35,146.25,0,4.76,0.69,0,0,4.43,0,0,0,0,3.13,0,0.71,25.7,0,0
 72-82,0,0,0,0,5.32,0,1.48,944.08,1.48,0,3.95,72.11,1.45,0,1.28,7.69,0,0.71,0,0,0,63.65,0,2.39,90.78,0,0,3.5,0,2.26,0,0,0,0,0,19.73,0,0,55.61,4.27,0
 84-94,0,0,0,0,6.25,0.57,0,821.48,0,0,2.94,62.03,4.29,0,0,4.76,0.6,0,1.7,0,2.04,36.94,0,2.68,94.24,0,0,2.03,0,0,1.33,0,0,0,0,25.7,0,0.62,58.76,0.88,0
 96-106,0,0,1.28,0,1.32,4.45,10.85,1000.05,0,0,8.01,131.1,9.21,0,0,0,0,0.92,0,16.59,0.67,40.42,1.44,3.74,80.32,0,0,3.88,0,0,0,0,0,0,0,0.95,2.64,2.52,116.91,0,1.92
108-118,0,0,0,0,3.56,3.17,20.01,885.14,2,0,13.24,108.6,28.19,0,1.02,7.05,0,0.53,0.47,8.79,8.3,48.45,6.23,4.97,95.04,0.45,0,0.9,0,0,2.54,0,0,0,0,4.55,1.39,0,71.76,2.84,0
120,0,0,0,0,1.08,11.53,20.36,884.93,18.62,4.19,23.55,175.26,53.25,0,3.84,21.81,0,0,5.25,0,1.33,48.31,0,7.66,134.81,2.22,0,2.92,0,3.68,0,0,0,0,0,15.19,5.02,0,165.04,14.75,0
