stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,93.61,2003.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.84,0,0,0,0,0,0,0,0,0,0,0
  5-6,86.93,1585.88,0,0,0,0,0,0,0,0,0,0,24.34,0,0,0,0,0,0,0,0,0,0,49.74,0,0,0,28.62,0,12.76,0,0,0,0,0,0,0,0,0,0,0
  7-9,53.44,11.74,37.76,0,0,0,45.41,0,0,0,0,0,31.49,0,0,0,0,0,0,0,0,0,0,647.76,3.62,0,0,208.86,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.13,43.82,0,0,0,53.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608.63,14.05,0,0,184.99,0,0,20.51,0,25.06,0,0,0,0,0,0,0,0
 14-21,0,0,5.83,10.56,6.24,0,11.27,0,0,0,3.6,1.88,0,0,3.19,0,0,0,0,9.93,0,0,4.15,169.09,2.87,1.8,0,1.72,0,0,0,19.59,0.81,0,15.18,50.62,0,0,0,0,0
 24-34,0,0,0.71,7.12,2.61,0,42.12,0,0,0.61,13.19,0.67,0,0,45.24,1.24,0,0,0.79,39.59,0,0.69,12.06,547.19,0.67,2.45,1.96,0,0,2.02,0,0,0,0,3.31,127.65,0,0,8.6,0,0.98
 36-46,0,0,0,1.4,0,0,100.4,0,0,0,2.62,0,0,1.3,141.11,0,0,0,0,26.18,0,0.57,7.56,303.03,1.18,3.09,0.72,0,0,7.28,0,0,0,0,0,64.05,0,0,2.5,0,0
 48-58,0,0,0,1.44,5.51,0,123.88,0,1.1,0,10.98,2.98,11.84,1.67,207.16,0,0,0.42,0,33.59,0,4.38,3.89,142.35,0,0,3.01,0,0,0.64,0,0,0,1.7,0,26.47,0,0,4.63,0,0.88
 60-70,0,0,0,7.76,0,0,108.45,0,0,0,16.95,1.57,0,0,217.45,0,4.25,1.39,0,30.89,0,0,2.85,70.82,0,1.08,1.42,0,0,1.62,0,0,0,0,0,0.59,0,1.03,0.7,0,0
 72-82,0,0,0,1.59,5.69,0,50.3,0,0,1.42,7.64,0,0,1.1,315.97,0,0,0.79,0,47.6,1.23,2.74,3.69,60.27,0,1.21,0.53,0,0,0.6,0,0,4.01,0,0,13.27,0,0,0.62,1.62,0
 84-94,0,0,0,3.34,17.33,0,40.17,0,0,1.7,29.13,1.64,0,0,406.07,1.03,1.28,0,0,42.66,0,1.91,5.36,28.73,2.82,0.69,2.16,0,0.57,12.71,0,0,0,0,0,12.44,0,0,7.91,2.4,0
 96-106,0,0,1.03,1.59,9.25,0,48.67,0,1.54,0,22.98,1.32,0,1.6,408.59,0.58,3.61,2.67,0,33.07,1.69,7.47,3.51,40.71,1.97,1.39,4.04,0,2.9,4.07,0,0,0.69,0,0,1.3,0,0,6.55,0,0
108-118,0,0,0,7.8,5.12,0,51.46,2.75,0.53,0.7,20.25,1.94,0,0,401.82,0,4.31,2.29,2.36,49.02,0,1.89,3.36,84.47,2.5,2.99,1.72,0,0,10.54,0,0,0,0,0,3.16,0.52,0,4.99,0,1.09
120,0,0,0,22.29,4.69,1.6,43.89,3.63,3.64,0,86.15,0,0,0,551.59,0,0,2.05,0,64.78,1.63,0,1.82,151.09,11.22,1.57,0,0,0,18.77,0,0,2.06,2.07,0,0,0,0,3.36,2.94,0
