stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,28.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,24.24,0,0,0,0,0,0,0,0,37.71,3.84,0,0,6.07,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.37,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,68.99,0,0,0,18.6,0,0,0,0,3.51,0,0,0,0
 14-21,0.89,0,0,3.48,17.38,1.08,0,0,0,2.64,1.14,0,0,0,0,0,6.03,0,0,6.04,54.68,0.94,0,0,1.44,0,1.19,1.14,1.53,81.15,0,0,0,0
 24-34,0,0,0,4.89,13.41,0,0.68,0,0.69,1.36,0.67,0,0,0,0,0,6.08,0,0,0.66,136.3,0,0.78,2.21,0,6.34,0,3.62,0,39.48,0,0,2.45,0
 36-46,0,0,0,1.37,6.71,0,0.66,1.17,0,2.6,5.58,0,0,0,1.07,0,4.82,0,0.67,0.6,33.41,0,0,0,0,2.55,0,3.15,0,19.13,0,0,0,0
 48-58,0,0,0,0,15.26,0,0.89,0,0,2.46,13.6,0,0,0.4,5.3,0,4.35,0,0,1.91,35.8,0,0,0,0,0,0,6.85,0,9.57,0,0,0,0
 60-70,0,0,0,0,23.08,0,4.45,0,0,0,12.79,0,0.61,0,3.59,0,12.33,0,0,0.57,20.44,0,0.96,0,0,0,0,6.41,0,5.42,0,0,1.49,0
 72-82,0,0,0,0,27.59,0,15.87,2.11,2.21,1.33,14.27,0,2.26,0,0,0,16.84,0,0,0,31.19,0,0,0,0,1.39,0,0,0,2.21,0,0,0,0
 84-94,0,0,0,0,30.57,0,16.2,0,0.69,1.07,19.54,0,1.52,0,0,0.83,10,0,0,0,9.06,0,0,6.67,0,1.3,0,0,0,0,0,0,0,0
 96-106,0,0,0.99,0,24.46,0,11.21,2.62,1.62,2.97,11.66,0,0.81,0,0,0,9.57,0,0,0,26.87,0,3.04,3.72,0,2.05,0,0.67,0,0.64,0.82,1.15,0,0
108-118,0,0,1.67,0.46,43.52,0,7.62,6.15,0,1.59,17.74,0,0,0.55,0,0,1.98,0.43,0,0,14.48,0,2.71,0.49,0,0.48,0,2.05,0,0,6.29,0,0,3.15
120,0,0,0,4.41,67.94,0,7.59,1,0,0,15.85,0,0,1.48,0,0,33.19,2.21,0,1.09,43.84,0,0,5.58,0,1.33,0,0,0,0,1.98,0,15.97,0
