stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.92,0,0,0,0,0,0,9.67,0,0,0,0
 24-34,0,0,2.41,0,1.86,0,0,0,0,0,0,0,0,0,0,0,0,1.02,84.99,0,2.94,0,0,0,0.67,42.06,0,0,0,0
 36-46,0,0,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0.8,0,0.64,278.21,0,0,0,0,0,11.37,85.52,0,0,0,0
 48-58,0,0,0,0,23.08,1.06,0,0.42,2.38,0,0,0,0,0,0.53,3.3,2.99,0.98,471.62,0,0,1.22,0,0,2.33,104.65,0,1.69,0,0
 60-70,0,0,1.52,0,57.18,0,0,0,10.96,0,0,0,0,0,7.36,3.32,0,0,625.68,0,0.89,0,3.05,0,3.48,132.88,0,0,1.54,6.86
 72-82,0,0,11.41,0.83,127.84,0,0,0.77,3.41,0,1.23,0,0,2.96,0,4.12,0.81,0,819.35,0,0,0,0,0,0,148.35,0.95,1.57,0.81,17.01
 84-94,0,0,8.96,0,171.79,0.69,0.68,0,3.37,2.28,0.8,0,0,11.16,0,8.39,2.67,0.55,591.78,0,0,0.57,3.83,1.35,0,65.97,2,0,0.91,0
 96-106,0,0,1.99,1.29,100.72,0,0.63,1.73,16.89,1.38,0,0.78,0,2.94,0,8.97,0,1.81,609.19,0,0,0.65,0,0,0,47.03,0,4.69,0,0
108-118,0,0.74,4.53,0,122.74,0,0,0,21.14,1.32,0,0,0,1.8,0,9.23,0,0,687.5,0,1.17,0,4.34,0,0,31.77,3.71,6.55,0,0
120,0,0,22.84,0,158.14,2.44,0,0,25.16,0,0,3.35,1.45,0,3.89,19.69,0,10.07,1282.93,2.01,0,0,0,0,0,122.46,5.08,0,0,0
