stage,axial,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,18.39,24.18,0,0,0,0,0,0,0,0,0,0
  5-6,8.73,67.02,0,0,0,0,0,14.66,0,0,0,0
  7-9,0,0,0,0,0,0,0,20.78,4.13,0,0,0
 10-12,0,0,0,0,0,0,0,5.03,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.9,0,0,1.36,0
 24-34,0,0,0,1.5,0,3.88,0.62,14.13,0,0,2.2,4.75
 36-46,0,0,2.88,1.45,0,0,0,11.72,0,1.1,0.61,0
 48-58,0,0,0,1.8,0,0.39,0,11.68,0,0,0.62,0
 60-70,0,0,0,11.69,2.67,1.12,0,0.84,0,0,0,0
 72-82,0,0,0,0,0,2.15,0,3.68,0,0,0.56,0
 84-94,0,0,0,0,0,0,0,0.7,0,0,0,0
108-118,0,0,0,0,0,0,0,2.17,0,0,0,0
120,0,0,0,1.48,0,0,0,2.77,0,0,0,0
