stage,axial,blastomeres,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,taste
  3-4,11.1,75.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,62.7,0,0,0,0,0,0,0,0,0,0,0,10.72,0,0,8.03,0,0,0,0
  7-9,0,0,0,0,0,0,6.42,0,0,0,0,0,46.82,4.24,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,27.77,0,0,0,24.07,0,5.62,0,0
 24-34,0,0,0,2.9,0,0,0,0,0,0,0,0,15.55,0,0,0,0,0,0,2.59,0
 36-46,0,0,0,1.38,0,0,0,0,0,0.73,0,0,12.14,0,0.59,0,0,0,0,0.73,0
 48-58,0,0,0,1.12,0,0,0,0,2.65,0.47,0,0.4,8.73,0,0,0.66,0,0,0,0.51,0
 60-70,0,0,0,1.54,0.87,0,0,1.2,0,0,0,0.79,6.04,0,0.6,0,0,0,0,1.14,0
 72-82,0,0,0,7.81,0,0,0,0,0,2.4,0,0,14.56,0,0.74,0,0,0,0,4.54,0.67
 84-94,0,0,4.93,0,0,0,0,0,0,1.8,2.5,0,6.11,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.96,0,0,0,0,0,1.25,0,0,6.17,0,0,0,0,2.59,0,0,0
108-118,0,0,0,0,0,2.94,0,0,0,0,0,0,6.46,0.81,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
