stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,immune,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,xanthophores
  3-4,0,40.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,53.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23,0,0,0,10.14,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.68,0,0,0,0,0,0,0
 14-21,0,0,1.11,1.76,0,0,45.13,0,0,0.85,0,0,0,20.22,303.72,0,0,0,0,0,52.09,0
 24-34,0,0,0,5.41,5.14,0,196.76,0,0,0.7,0,0,0,113.39,237.05,0,0,0,5.15,0,223.9,0
 36-46,0,0,0,0.72,1.96,0,226.02,0,0,1.24,0,0,2.94,98.71,151.22,0,1.34,0,11.72,0,240.82,0
 48-58,0.58,0,0,0,25.5,0,197.25,0,1.26,1.09,0,0,0,64.21,168.59,0,0,0,0.55,0,204.97,0.56
 60-70,0,0,0,0,29,0,131.73,4.97,11.03,0,0,0,0,45.4,107.78,0.98,0,0,2.54,0,67.28,0
 72-82,0,0,0,0,41.8,0,163.14,0,15.39,2.09,0,0,0,30.57,70.26,0,0,0,0,0,18.14,1.14
 84-94,0.62,0,0,0,47.72,0,164.55,0,1.86,3.75,0,0.57,0,11.77,117.8,0,0,0,0,0,28.09,0
 96-106,2.25,0,0,0,60.02,0,172.6,0,6.73,0,0,0,0,17.79,75.07,0,0,0,0,1.35,22.84,0
108-118,1.01,0,0,0,71.8,0,166.17,0,3.97,0,0.53,0,0.94,40.47,100.01,1.43,0,0,0,0,7.61,0
120,0,0,0,0,59.05,2.41,94.21,1.18,5.4,2.12,0,0,0,44.3,149.91,0,0,0,8.4,0,31.9,0
