stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,92.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0
  5-6,85.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85,0,0,0,0
  7-9,4.3,6.59,0,6.85,0,0,0,0,0,5.26,0,0,0,0,0,0,0,80.16,0,0,59.53,3.26,0,0,0,0
 10-12,22.62,0,0,0,0,0,0,0,0,4.67,0,0,5.32,0,0,0,0,55.8,5.62,0,23.93,0,0,0,0,0
 14-21,0,0,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.57,0,0,0,0,2.39,0,0.92,0
 24-34,0,0,3.84,0.65,0,0,0,0,0,0,0,0,0,1.02,0,0,0,14.33,0,0,0,0,1.73,0,0.68,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,2.52,3.21,0,0,0,4.81,0,0,0,2.06,4.79,0,0,0
 48-58,0,0,0.6,4.08,0,0,0,0,0,0,0,8.18,0,0.5,0,0,0,7.1,0,0,0,1.58,0,0,0,0
 60-70,0,0,1.32,1.97,0,1.36,0,0,0,0,0,5.07,0,0,0.57,0,0,5.71,0,2.66,0,11.96,0,0,0,0
 72-82,0,0,1.85,1.23,0,0,0.71,2.83,0,0,0,0.64,0.79,0,0,0,0,3.93,0,0,0,7.43,0,0,0,0
 84-94,0,0,1.29,5.35,0,0,0,0,0,0,0,0,0,2.35,0,0,0.76,0,0,0,0,19.23,0,0,0,0
 96-106,0,0,7.58,0,0.7,0,0,0.96,0,0,1.14,0,2.38,1.47,0,1.32,0,0,0,0,0,16.91,0,0,0,0
108-118,0,0,4.43,4.53,0,0.46,0,0,0,0,1.38,0,0.69,0.61,0,0,0,4.47,0,0,0,11.2,0,0,1.05,0
120,0,0,3.23,1.33,0,0,0,0,10.74,0,5.06,0,4.66,0,0,11.56,0,0,0,0,0,11.87,0,1.37,0,4.27
