stage,blastomeres,endoderm,epidermis,eye,gut,immune,liver,mesenchyme,neural,pericytes,pronephros,spinal.cord
  3-4,23.38,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.14,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,4.49,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.67,0
 36-46,0,0,0,0,0,0,0,2.11,0,0,2.61,0
 48-58,0,0,0,0,0,1.01,0,0,1.36,0,2.51,0.49
 60-70,0,0,0,3.92,0,3.2,0,0,1.99,0,1.68,0
 72-82,0,0,0,4.29,0,2.17,0,0,0,0,2.79,0
 84-94,0,0,0,3.38,0.69,10.25,0,0,0,7.92,6.39,0
 96-106,0,1.72,0.76,8.45,2.04,12.75,1.86,0,2.77,0,4.99,0
108-118,0,0.5,0,4.42,3.57,5.18,0.52,0,4.94,0,9.7,0
120,0,1.66,0,10.05,1.02,1.57,0,4.16,0,0,5.12,0
