stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,pronephros,vasculature
  3-4,98.62,1972.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.37,0,0
  5-6,15.76,637,0,0,0,0,0,0,0,0,0,0,0,0,0,57.63,9.09,0,0,0
  7-9,0,0,5.25,0,0,3.38,0,0,0,0,0,0,0,0,0,17.97,6.2,0,0,0
 14-21,0,0,0,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.97,2.81,0,0,0,0.61,0.95,15.32,0.6,3.38,0,0,8.17,0,0,0,4.38
 36-46,0,0,0,0,0,0,0,0,0,0,16.74,0,2.66,0.6,0,0,0,0,0,2.2
 48-58,0,0,0,2.52,0,0,0.85,1.57,0,0,16.86,0,0.72,0,1.11,0,0,0,0.38,2.37
 60-70,0,0,0,0,2.06,0.72,0,0,0,0,9.56,0,5.83,0,0,1.01,0,0,0,3.78
 72-82,0,0,0,0,0.97,0,0,0,0,0,28.35,0,1.88,0,0,4.38,0,0,0,10.73
 84-94,0,0,0,0.71,4.37,0,0,0,0,0,34.76,0,0,0.95,0,3.39,0,1.12,0,11.06
 96-106,0,0,0,0,1.54,0,0,0,0.66,0,49.92,0.63,6.61,3.48,0,3.19,0,1.25,0.71,7.9
108-118,0,0,0,0,3.27,0,0,0,0,0,34,0,1.17,0,0,4.95,0,0,0.7,5.33
120,0,0,0,0,5.09,0,0,0,1.17,0,81.04,0,0,0,0,3.31,0,0,0,16.58
