stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0
 24-34,0,2,0,0,1.45,0,0,0,0,0,1.39,0,1.45,0,1.19,0.77,0,6.17,0,0
 36-46,0,0,0,0,1.43,0,0,0,0,0,2.16,0,4.35,0.57,0,0,3.92,4.68,1.33,0
 48-58,0,0,0,0,0,0.5,0,0,0,0,0,0,0.74,0,0,0,0,6.77,0,0
 60-70,0,0,0,0,0,0,1.43,2.61,0,0,0,0,0,0,0,0,0,0.63,0,0
 72-82,0.69,0.77,0,0,0.73,0,0.81,0,1.62,9.58,0,0.52,6.42,0,0,0,1.23,11.79,0.86,0
 84-94,0,0,0,0,0,0,0,0,0.81,0.62,0,0,0,0,0,0,0.83,4.02,0,0
 96-106,2.08,0,2.77,1.05,0,1.08,0.66,0,0,1.91,0,0,2.38,0,0,0,0,1.97,0,0
108-118,0,5.3,0,0,1.33,0,4.45,0,0,3.41,0.8,0,4.34,0,0.43,2.54,0.5,10.39,0,1.2
120,0,5.04,0,0,0,8.38,17.09,0,0,9.35,4.6,0,11.65,0,0,0,0,14.29,0,0
