stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,5.67,0,0,0,0,0,10.89,0,0,0,0,0,0,0,1.72,0,1.27,44.41,3.02,0,0,1.26,8.47,2.39,64.69,0,0,0,0
 24-34,0,2.46,0,0,6.53,0,0,16.5,0,0,0,0.81,0,0,0.77,0,0,2.44,193.97,20.29,0.69,4.85,0,0.64,0,34.44,0,0,0,0
 36-46,0,0,0,0,5,1.39,0,1.46,0,2.69,0,0,0,0,0,2.78,0,0.71,312.56,18.17,0.67,2.02,0,0,0,40.71,0,0,0,0
 48-58,0,0,0,0,43.43,0.66,0.62,19.74,0,0,0.45,0,0,0,0.99,5.19,0,0.78,299.49,24.75,0.4,2.33,0,0,0,31.98,0,0,0,1.36
 60-70,0,6.39,0,0,64.44,0,0,11.07,0.69,0,0,0,0,1.55,0,4.34,0,0,405.29,14.49,0.71,0,0,0.6,0,39.71,0,0,0,0
 72-82,1.29,0.55,0,0,55.74,0,1.09,12.19,0,0.86,0,0,0,0,4.98,6.25,0,0.5,271.64,39.08,4.18,1.58,0,0,0,32.13,0,0,0,0
 84-94,0,2.54,0,0,31.33,0,0,0,0,0,0,0,0,0,0,6.85,0,0,138.12,15.26,3.24,0,0,0,0,13.13,0.83,0,0,0
 96-106,1.68,0.81,0,0.66,28.21,0,0,0.68,0,0,0,0.65,1.03,1.09,6.1,8.17,0,0.7,128.77,36.63,5.48,0,0,0,0,4.19,0,0,0.69,0
108-118,0.54,6.71,2.22,0,20.78,0.52,0,8.32,2.38,0,0,0,0,0,1.71,7.38,4.08,0.57,224.85,39.12,2.85,0.67,0,0,0,2.73,0,3.12,0,0
120,0,6.05,0,0,48.78,0,0,2.34,0,0,0,0,0,0,0,18.95,0,2.22,342.29,68.52,0,0,0,0,0,13.42,0,0,0,0
